latex,ex,t1_2,i,m_nm,z
$^{185}_{75}Re$,0,stable,5/2+,+3.1871(3),75
$^{186}_{75}Re$,0,90.6 h,1-,+1.739(6),75
$^{187}_{75}Re$,0,4 x 10*10 y,5/2+,+3.2197(3),75
$^{188}_{75}Re$,0,16.9 h,1-,+1.788(5),75
$^{182}_{76}Os$,7049,150 ns,25(+),+10.6(2),76
$^{183}_{76}Os$,0,13.0 h,9/2+,(-)0.794(14),76
$^{184}_{76}Os$,120,1.18 ns,2+,NA,76
$^{186}_{76}Os$,137,830 ps,2+,+0.56(2),76
$^{187}_{76}Os$,0,stable,1/2-,+0.06465189(6),76
$^{188}_{76}Os$,155,710 ps,2+,+0.58(2),76
$^{189}_{76}Os$,0,stable,3/2-,+0.659933(4),76
$^{190}_{76}Os$,187,366 ps,2+,+0.70(2),76
$^{191}_{76}Os$,0,15.4 d,9/2-,+0.96(3),76
$^{192}_{76}Os$,206,289 ps,2+,+0.79(2),76
$^{193}_{76}Os$,0,30.5 h,3/2-,0.730(2),76
$^{180}_{77}Ir$,0,1.5 m,unknown,2.2(2) [I=3],77
$^{182}_{77}Ir$,0,15 m,unknown,1.91(9) [I=2],77
$^{183}_{77}Ir$,0,55 m,"5/2, 7/2",2.36(8) [I=5/2],77
$^{184}_{77}Ir$,0,3.14 h,5-,0.696(5),77
$^{185}_{77}Ir$,0,14.4 h,5/2-,2.605(13),77
$^{186}_{77}Ir$,0,16.64 h,5+,3.88(5),77
$^{187}_{77}Ir$,0,10.5 h,3/2+,NA,77
$^{188}_{77}Ir$,0,40.5 h,1(-),0.302(10),77
$^{189}_{77}Ir$,0,13.1 d,3/2+,"0.13(+8,-4)",77
$^{190}_{77}Ir$,0,11.8 d,(4)+,0.04(1),77
$^{191}_{77}Ir$,0,stable,3/2+,+0.1507(6),77
$^{193}_{77}Ir$,0,stable,3/2+,+0.1637(6),77
$^{194}_{77}Ir$,0,19.4 h,1-,0.39(1),77
$^{183}_{78}Pt$,0,6.5 m,1/2-,+0.51(3),78
$^{184}_{78}Pt$,163,376 ps,2+,+0.56(6),78
$^{185}_{78}Pt$,0,70.9 m,9/2+,0.774(14),78
$^{186}_{78}Pt$,192,260 ps,2+,+0.54(6),78
$^{187}_{78}Pt$,0,2.35 h,3/2-,0.408(8),78
$^{188}_{78}Pt$,266,64 ps,2+,+0.58(8),78
$^{189}_{78}Pt$,0,10.9 h,3/2-,-0.421(5),78
$^{190}_{78}Pt$,296,60 ps,2+,+0.57(3),78
$^{191}_{78}Pt$,0,2.9 d,3/2-,-0.501(5),78
$^{192}_{78}Pt$,317,43.7 ps,2+,+0.57(3),78
$^{193}_{78}Pt$,0,50 y,1/2-,+0.603(8),78
$^{194}_{78}Pt$,328,41.8 ps,2+,+0.60(3),78
$^{195}_{78}Pt$,0,stable,1/2-,+0.60952(6),78
$^{196}_{78}Pt$,356,34 ps,2+,+0.59(5),78
$^{197}_{78}Pt$,0,18.3 h,1/2-,0.51(2),78
$^{198}_{78}Pt$,407,22.3 ps,2+,+0.63(2),78
$^{182}_{79}Au$,0,21 s,unknown,1.30(10) [I=2],79
$^{183}_{79}Au$,0,42 s,5/2-,+1.97(2),79
$^{184}_{79}Au$,0,21 s,5,+2.07(2),79
$^{185}_{79}Au$,0,4.2 m,5/2-,+2.17(2),79
$^{186}_{79}Au$,0,10.7 m,3-,-1.28(3),79
$^{187}_{79}Au$,0,8.4 m,1/2+,+0.535(15),79
$^{188}_{79}Au$,0,8.8 m,1-,-0.07(3),79
$^{189}_{79}Au$,0,28.7 m,1/2+,+0.494(14),79
$^{190}_{79}Au$,0,42.8 m,1-,-0.065(7),79
$^{191}_{79}Au$,0,3.18 h,3/2+,+0.1369(9),79
$^{192}_{79}Au$,0,5.0 h,1-,-0.0107(15),79
$^{193}_{79}Au$,0,17.65 h,3/2+,0.1396(6),79
$^{194}_{79}Au$,0,39.5 h,1-,+0.0763(13),79
$^{195}_{79}Au$,0,183 d,3/2+,0.1487(6),79
$^{196}_{79}Au$,0,6.18 d,2-,+0.580(15),79
$^{197}_{79}Au$,0,stable,3/2+,+0.145746(9),79
$^{198}_{79}Au$,0,2.696 d,2-,+0.64(2),79
$^{199}_{79}Au$,0,3.14 d,3/2+,+0.261(2),79
$^{200}_{79}Au$,962,18.7 h,12-,5.90(9),79
$^{181}_{80}Hg$,0,3.6 s,1/2(-),+0.5071(7),80
$^{183}_{80}Hg$,0,8.8 s,1/2-,+0.524(5),80
$^{185}_{80}Hg$,0,55 s,1/2-,+0.509(4),80
$^{187}_{80}Hg$,0,2.4 m,13/2+,-1.044(11),80
$^{188}_{80}Hg$,2724,135 ns,12+,-2.02(12),80
$^{189}_{80}Hg$,0,7.6 m,3/2-,-0.6086(8),80
$^{190}_{80}Hg$,2621,21 ns,12+,-2.5(2),80
$^{191}_{80}Hg$,0,49 m,3/2-,-0.618(11),80
$^{193}_{80}Hg$,0,3.80 h,3/2-,-0.6276(2),80
$^{194}_{80}Hg$,2424,2.9 ns,10+,g(avge) = -0.24(4),80
$^{195}_{80}Hg$,0,9.9 h,1/2-,+0.5414749(14),80
$^{196}_{80}Hg$,1841,5.2 ns,7-,-0.29(13),80
$^{197}_{80}Hg$,0,64.1 h,1/2-,+0.5273744(9) d,80
$^{198}_{80}Hg$,412,23 ps,2+,+0.76(6),80
$^{199}_{80}Hg$,0,stable,1/2-,+0.5058855(9),80
$^{200}_{80}Hg$,368,46.6 ps,2+,+0.65(5),80
$^{201}_{80}Hg$,0,stable,3/2-,-0.5602257(14),80
$^{202}_{80}Hg$,440,27.3 ps,2+,+0.78(6),80
$^{203}_{80}Hg$,0,46.8 d,5/2-,+0.84895(13),80
$^{204}_{80}Hg$,437,40.2 ps,2+,+0.9(2),80
$^{205}_{80}Hg$,0,5.2 m,1/2-,+0.60089(10),80
$^{206}_{80}Hg$,2102,2.15 μs,5-,+5.45(5),80
$^{187}_{81}Tl$,0,51 s,(1/2+),1.55(6),81
$^{188}_{81}Tl$,0 + x,71 s,7+,+0.483(8),81
$^{189}_{81}Tl$,281,1.4 m,9/2-,+3.878(6),81
$^{190}_{81}Tl$,0 + x,2.6 m,2-,+0.254(2),81
$^{191}_{81}Tl$,0,2.2 m,1/2+,+1.588(4),81
$^{192}_{81}Tl$,0 + x,9.6 m,2-,+0.200(3),81
$^{193}_{81}Tl$,0,21.6 m,1/2+,+1.591(2),81
$^{194}_{81}Tl$,0,34 m,2-,+0.140(3),81
$^{195}_{81}Tl$,0,1.16 h,1/2+,+1.58(4),81
$^{196}_{81}Tl$,0,1.84 h,2-,+0.072(3),81
$^{197}_{81}Tl$,0,2.84 h,1/2+,+1.58(2),81
$^{198}_{81}Tl$,0,5.3 h,2-,0.00(1),81
$^{199}_{81}Tl$,0,7.4 h,1/2+,+1.60(2),81
$^{200}_{81}Tl$,0,26.1 h,2-,0.04(1),81
$^{201}_{81}Tl$,0,73 h,1/2+,+1.605(2),81
$^{202}_{81}Tl$,0,12.2 d,2-,0.06(1),81
$^{203}_{81}Tl$,0,stable,1/2+,+1.62225787(12),81
$^{204}_{81}Tl$,0,3.78 y,2-,0.09(1),81
$^{205}_{81}Tl$,0,stable,1/2+,+1.63821461(12),81
$^{206}_{81}Tl$,1405,78 ns,(5)+,+4.27(6),81
$^{207}_{81}Tl$,0,4.77 m,1/2+,+1.876(5),81
$^{208}_{81}Tl$,0,3.05 m,5(+),+0.292(13),81
$^{191}_{82}Pb$,138,2.18 m,13/2+,-1.172(7),82
$^{192}_{82}Pb$,2581+d,1.07 μs,12+,2.08(2),82
$^{193}_{82}Pb$,100,5.8 m,13/2+,-1.150(7),82
$^{194}_{82}Pb$,2407,18 ns,9-,-0.6(4),82
$^{195}_{82}Pb$,203,15.0 m,13/2+,-1.128(7),82
$^{196}_{82}Pb$,1797,185 ns,5-,+0.490(15),82
$^{197}_{82}Pb$,0,8 m,3/2-,-1.075(2),82
$^{198}_{82}Pb$,1823,49 ns,5-,+0.38(3),82
$^{199}_{82}Pb$,0,1.5 h,3/2-,-1.0742(12),82
$^{200}_{82}Pb$,2154,44 ns,7-,-0.21(10),82
$^{201}_{82}Pb$,0,9.33 h,5/2-,+0.6753(5),82
$^{202}_{82}Pb$,1384,1.97 ns,4+,+0.008(16),82
$^{203}_{82}Pb$,0,51.9 h,5/2-,+0.6864(5),82
$^{204}_{82}Pb$,899,2.94 ps,2+,<0.02,82
$^{205}_{82}Pb$,0,1.5x10*7y,5/2-,+0.7117(4),82
$^{206}_{82}Pb$,803,8.4 ps,2+,<0.03,82
$^{207}_{82}Pb$,0,stable,1/2-,+0.592583(9),82
$^{208}_{82}Pb$,2615,15 ps,3-,+1.9(2),82
$^{209}_{82}Pb$,0,3.25 h,9/2+,-1.4735(16),82
$^{211}_{82}Pb$,0,36.1 m,9/2+,-1.4037(8),82
$^{199}_{83}Bi$,0,11.8 h,9/2-,4.6(4),83
$^{201}_{83}Bi$,0,108 m,9/2-,4.8(3),83
$^{202}_{83}Bi$,0,1.72 h,5+,4.9(3),83
$^{203}_{83}Bi$,0,11.8 h,9/2-,+4.017(13),83
$^{204}_{83}Bi$,0,11.22 h,6+,+4.322(15),83
$^{205}_{83}Bi$,0,15.3 d,9/2-,+4.605(7),83
$^{206}_{83}Bi$,0,6.243 d,6+,+4.361(8),83
$^{207}_{83}Bi$,0,32.2 y,9/2-,4.081(9),83
$^{208}_{83}Bi$,0,3.7x10*5 y,5+,+4.633(10),83
$^{209}_{83}Bi$,0,stable,9/2-,+4.1103(5) d,83
$^{210}_{83}Bi$,0,5.01 d,1-,-0.04451(6),83
$^{211}_{83}Bi$,405,315 ps,7/2-,+4.5(7),83
$^{212}_{83}Bi$,0,60.6 m,1(-),0.41(5),83
$^{213}_{83}Bi$,0,45.6 m,9/2-,3.89(9),83
$^{198}_{84}Po$,1854,29 ns,8+,+7.3(2),84
$^{199}_{84}Po$,310,4.2 m,13/2+,0.99(7),84
$^{200}_{84}Po$,1774,61 ns,8+,+7.44(16),84
$^{201}_{84}Po$,0,15.3 m,3/2-,0.94(8),84
$^{202}_{84}Po$,1712,110 ns,8+,7.45(12),84
$^{203}_{84}Po$,0,36.7 m,5/2-,0.74(6),84
$^{204}_{84}Po$,1639,158 ns,8+,+7.38(10),84
$^{205}_{84}Po$,0,1.66 h,5/2-,+0.76(6),84
$^{206}_{84}Po$,1586,212 ns,8+,+7.34(7),84
$^{207}_{84}Po$,0,5.79 h,5/2-,+0.79(6),84
$^{208}_{84}Po$,1524,4.3 ns,6+,+5.3(6),84
$^{209}_{84}Po$,0,102 y,1/2-,0.68(8),84
$^{210}_{84}Po$,1473,43 ns,6+,5.48(5),84
$^{211}_{84}Po$,1065,16 ns,15/2-,-0.38(15),84
$^{207}_{85}At$,2117,108 ns,25/2+,+3.75(13),85
$^{208}_{85}At$,1090,48 ns,10-,+2.69(3),85
$^{209}_{85}At$,1428,26 ns,21/2-,+10.0(2),85
$^{210}_{85}At$,1363,28.4 ns,11+,+9.8(3),85
$^{211}_{85}At$,1417,35.1 ns,21/2-,+9.56(9),85
$^{212}_{85}At$,888,19.4 ns,11+,5.94(11),85
$^{217}_{85}At$,0,32 ms,9/2-,3.8(2),85
$^{203}_{86}Rn$,361,28 s,(13/2+),-0.960(11),86
$^{205}_{86}Rn$,0,2.83 m,5/2-,+0.802(9),86
$^{206}_{86}Rn$,1922,13.5 ns,8+,6.6(4),86
$^{207}_{86}Rn$,0,9.3 m,5/2-,+0.816(9),86
$^{208}_{86}Rn$,1826,490 ns,8+,6.98(8),86
$^{209}_{86}Rn$,0,29 m,5/2-,(+)0.8388(4),86
$^{210}_{86}Rn$,1665+x,644 ns,(8+),7.18(6),86
$^{211}_{86}Rn$,0,14.6 h,1/2-,+0.601(7),86
$^{212}_{86}Rn$,1502,8.8 ns,4+,4.0(2),86
$^{213}_{86}Rn$,1664,29 ns,21/2+,4.73(11),86
$^{219}_{86}Rn$,0,3.96 s,5/2+,-0.442(5),86
$^{221}_{86}Rn$,0,25 m,(7/2+),-0.020(1),86
$^{222}_{86}Rn$,186,0.32 ns,2+,+0.92(14),86
$^{223}_{86}Rn$,0,23.2 m,7/2,-0.776(8),86
$^{225}_{86}Rn$,0,4.5 m,7/2-,-0.696(8),86
$^{207}_{87}Fr$,0,14.8 s,9/2-,+3.89(8),87
$^{208}_{87}Fr$,0,58.6 s,7+,+4.75(10),87
$^{209}_{87}Fr$,0,50 s,9/2-,+3.95(8),87
$^{210}_{87}Fr$,0,3.2 m,6+,+4.40(9),87
$^{211}_{87}Fr$,0,3.1 m,9/2-,+4.00(8),87
$^{212}_{87}Fr$,0,19.3 m,5+,+4.62(9),87
$^{213}_{87}Fr$,0,34.7 s,9/2-,+4.02(8),87
$^{214}_{87}Fr$,640,103 ns,11+,"+5.62(7) K, d",87
$^{215}_{87}Fr$,1500+/-75,4 ns,(21/2)+/-1,g=0.33(10),87
$^{220}_{87}Fr$,0,27.4 s,1+,-0.67(1),87
$^{221}_{87}Fr$,0,4.8 m,5/2-,+1.58(3),87
$^{222}_{87}Fr$,0,14.2 m,2-,+0.63(1),87
$^{223}_{87}Fr$,0,21.8 m,3/2(-),+1.17(2),87
$^{224}_{87}Fr$,0,3.3 m,1(-),+0.40(1),87
$^{225}_{87}Fr$,0,3.9 m,3/2-,+1.07(2),87
$^{226}_{87}Fr$,0,48 s,1,+0.0712(14),87
$^{227}_{87}Fr$,0,2.4 m,1/2+,+1.50(3),87
$^{228}_{87}Fr$,0,39 s,2-,-0.76(2),87
$^{209}_{88}Ra$,0,4.7 s,5/2-,+0.865(13),88
$^{211}_{88}Ra$,0,13s,5/2-,+0.878(4),88
$^{212}_{88}Ra$,1958,10.9 μs,8+,7.10(7),88
$^{213}_{88}Ra$,0,2.7 m,1/2-,+0.613(2),88
$^{214}_{88}Ra$,1865,67μs,8+,7.08(3),88
$^{215}_{88}Ra$,3738,0.59 μs,(43/2-),15.78 (15),88
$^{216}_{88}Ra$,1508,0.5 ns,6+,g(avge) = 0.1(3),88
$^{221}_{88}Ra$,0,30 s,5/2-,-0.180(2),88
$^{223}_{88}Ra$,0,11.44 d,3/2+,+0.271(2),88
$^{224}_{88}Ra$,84,0.74 ns,2+,+0.9(2),88
$^{225}_{88}Ra$,0,14.8 d,1/2-,-0.7338(15),88
$^{227}_{88}Ra$,0,42.2 m,3/2+,-0.404(2),88
$^{229}_{88}Ra$,0,4.0 m,5/2(+),+0.503(3),88
$^{215}_{89}Ac$,1621,30 ns,17/2-,7.82(16),89
$^{217}_{89}Ac$,0,69 ns,9/2-,+3.83(5),89
$^{227}_{89}Ac$,0,21.77 y,3/2-,+1.1(1),89
$^{229}_{90}Th$,0,7340 y,5/2+,+0.46(4),90
$^{232}_{90}Th$,gsband,NA,NA,g(18-24)>g(10-16),90
$^{228}_{91}Pa$,0,22 h,(3+),3.5(5),91
$^{230}_{91}Pa$,0,17.4 d,(2-),2.0(2),91
$^{231}_{91}Pa$,0,3.3x10*4y,(2-),2.01(2),91
$^{233}_{91}Pa$,0,27.0 d,3/2-,4.0(7),91
$^{233}_{92}U$,0,1.6x10*5y,5/2+,μ/μ(235U),92
$^{235}_{92}U$,0,7.0x10*8y,7/2-,-0.38(3),92
$^{238}_{92}U$,gsband,NA,NA,g(18-24)>g(10-16),92
$^{237}_{93}Np$,0,2.1x10*6y,5/2+,+3.14(4),93
$^{239}_{93}Np$,75,1.40 ns,5/2-,+2.0(3),93
$^{237}_{94}Pu$,~2300,85 ns,(3/2),-0.68(5),94
$^{239}_{94}Pu$,0,2.4x10*4y,1/2+,+0.203(4),94
$^{241}_{94}Pu$,0,14.4 y,5/2+,-0.683(15),94
$^{239}_{95}Am$,~2500,163 ns,(7/2+),(+)2.6(2),95
$^{241}_{95}Am$,0,432.7 y,5/2-,+1.58(1),95
$^{242}_{95}Am$,0,16.0 h,1-,+0.3879(15),95
$^{243}_{95}Am$,0,7370 y,5/2-,μ/μ(241Am) = 0.951(7),95
$^{243}_{96}Cm$,0,28.5 y,5/2+,0.40(8),96
$^{245}_{96}Cm$,0,8500 y,7/2+,0.5(1),96
$^{247}_{96}Cm$,0,1.6x10*7y,9/2-,0.36(7),96
$^{249}_{97}Bk$,0,320 d,7/2+,2.0(4),97
$^{253}_{99}Es$,0,20.4 d,7/2+,+4.10(7),99
$^{254}_{99}Es$,78,39.3 h,2+,2.90(7),99
