-------------------------------------------------------------------
  Nuclide     Energy   Intensity  Decay   Half-life   Effective    
 58-Ce-151      38.9    *146.     B-      1.76     S   * 5.75E-01  
 74-W -172      38.9    *100.     EC      6.6      M   * 1.75E-03  
 64-Gd-162      39.0       5.1    B-      8.4      M     7.01E-05  
 38-Sr- 79      39.41     28.     EC      2.25     M     1.44E-03  
 67-Ho-159      39.5     2.E-04   IT      8.30     S          N/A  
 80-Hg-193      39.51      --     IT      11.8     H          N/A  
 53-I -129      39.58      7.51   B-      1.57E7   Y     1.05E-16  
 54-Xe-129      39.58      7.5    IT      8.88     D     6.78E-08  
 46-Pd-103      39.75      0.07   EC      16.991   D     3.31E-10  
 45-Rh-103      39.76      0.07   IT      56.114   M     1.44E-07  
 83-Bi-212      39.86      1.06   Alpha   60.55    M     2.02E-06  
 53-I -130      39.96      0.02   IT      8.84     M     2.61E-07  
 25-Mn- 64      40.        --     IT      0.50    MS          N/A  
 88-Ra-225      40.0      30.     B-      14.9     D     1.62E-07  
 23-V - 45      40.1   ?   3.5    B+      547     MS  ?  4.44E-02  
 60-Nd-136      40.2      18.9    EC      50.65    M     4.31E-05  
 67-Ho-144      40.2      40.04   IT      506     NS     5.48E+05  
 29-Cu- 58      40.3       5.07   EC      3.204    S     1.10E-02  
 75-Re-186      40.35      5.04   IT      2.0E+5   Y     5.54E-15  
 65-Tb-167      40.6       --     B-      19.4     S          N/A  
 91-Pa-224      40.7       1.34   Alpha   0.79     S     1.18E-02  
 30-Zn- 62      40.85     25.48   EC      9.26     H     5.30E-06  
 70-Yb-164      40.93      0.89   EC      75.8     M     1.36E-06  
 41-Nb- 94      40.94      0.07   IT      6.263    M     1.29E-06  
 58-Ce-144      40.98      0.26   B-      284.91   D     7.32E-11  
 96-Cm-239      41.        --     EC      2.9      H          N/A  
 47-Ag-115      41.1       0.01   IT      18.0     S     3.85E-06  
 60-Nd-135      41.48     22.32   EC      12.4     M     2.08E-04  
 59-Pr-135      41.5      28.37   IT      105     US     1.87E+03  
 97-Bk-248      41.53      --     B-      23.7     H          N/A  
100-Fm-252      41.53      0.01   Alpha   25.39    H     7.58E-10  
 64-Gd-153      41.56      9.     IT      3.5     US     1.78E+04  
 64-Gd-153      41.56      9.     IT      76.0    US     8.21E+02  
 94-Pu-243      41.8       0.76   B-      4.956    H     2.95E-07  
 97-Bk-247      41.8   ~   1.3    Alpha   1380     Y  ~  2.07E-13  
 76-Os-191      41.85    6.E-03   B-      15.4     D          N/A  
 77-Ir-191      41.85    6.E-03   IT      4.899    S          N/A  
 71-Lu-172      41.86    4.E-03   IT      3.7      M          N/A  
 71-Lu-172      41.86    4.E-03   IT      440     US          N/A  
 45-Rh-102      41.9       --     IT      3.742    Y          N/A  
 96-Cm-245      41.93      0.37   Alpha   8500     Y     9.56E-15  
 79-Au-180      42.        --     Alpha   8.1      S          N/A  
 98-Cf-246      42.        0.01   Alpha   35.7     H     5.39E-10  
 69-Tm-160      42.02      4.5    IT      74.5     S     4.19E-04  
 30-Zn- 73      42.1       --     B-      5.8      S          N/A  
 45-Rh-100      42.1       0.88   IT      4.6      M     2.21E-05  
 95-Am-242      42.13      0.04   B-      16.02    H     4.81E-09  
 70-Yb-178      42.4    *  6.7    B-      74       M   * 1.05E-05  
 92-U -233      42.43      0.07   Alpha   159.2E3  Y     9.66E-17  
 80-Hg-181      42.5    * 52.44   EC      3.6      S   * 1.01E-01  
 32-Ge- 84      42.7       9.88   B-      0.954    S     7.18E-02  
100-Fm-254      42.76      0.01   Alpha   3.240    H     5.94E-09  
 96-Cm-244      42.82      0.03   Alpha   18.11    Y     3.64E-13  
 98-Cf-250      42.85      0.01   Alpha   13.08    Y     1.68E-13  
 98-Cf-248      42.97      0.02   Alpha   333.5    D     4.81E-12  
 76-Os-169      43.        --     Alpha   3.4      S          N/A  
 97-Bk-244      43.        --     Alpha   4.35     H          N/A  
 76-Os-194      43.1       5.4    B-      6.0      Y     1.98E-10  
 91-Pa-228      43.3       0.05   Alpha   22       H     4.38E-09  
 97-Bk-248      43.40      --     EC      23.7     H          N/A  
 98-Cf-252      43.40      0.01   Alpha   2.645    Y     8.30E-13  
 79-Au-203      43.5       0.89   B-      60       S     1.03E-04  
 94-Pu-238      43.50      0.04   Alpha   87.7     Y     1.00E-13  
 41-Nb-101      43.52     21.     B-      7.1      S     2.05E-02  
 92-U -239      43.53      4.07   B-      23.45    M     2.01E-05  
 95-Am-243      43.53      5.9    Alpha   7370     Y     1.76E-13  
 47-Ag-113      43.6       0.41   IT      68.7     S     4.14E-05  
 71-Lu-161      43.7   ~* 70.     EC      77       S  ~* 6.30E-03  
 94-Pu-246      43.81     25.     B-      10.84    D     1.85E-07  
 32-Ge- 66      43.89     29.15   EC      2.26     H     2.48E-05  
 47-Ag-114      43.9       --     IT      1.50    MS          N/A  
 94-Pu-244      44.        --     Alpha   8.11E+7  Y          N/A  
 96-Cm-242      44.08      0.03   Alpha   162.94   D     1.48E-11  
 92-U -240      44.10      1.05   B-      14.1     H     1.43E-07  
 96-Cm-248      44.2       --     Alpha   3.48E+5  Y          N/A  
 53-I -134      44.4      10.84   IT      3.52     M     3.56E-04  
 60-Nd-152      44.44      6.18   B-      11.4     M     6.26E-05  
 69-Tm-177      44.5    * 45.     B-      90       S   * 3.47E-03  
 71-Lu-170      44.52      0.84   IT      0.67     S     8.69E-03  
 95-Am-242      44.54      0.01   EC      16.02    H     1.20E-09  
 96-Cm-246      44.55      --     Alpha   4760     Y          N/A  
 87-Fr-220      44.60      0.56   Alpha   27.4     S     1.42E-04  
 93-Np-236      44.6       0.02   B-      153E+3   Y     2.87E-17  
 93-Np-236      44.63      0.01   B-      22.5     H     8.56E-10  
 71-Lu-174      44.68     12.43   IT      142      D     7.02E-09  
 40-Zr- 84      44.9    * 48.     EC      25.8     M   * 2.15E-04  
 94-Pu-242      44.91      0.04   Alpha   3.735E5  Y     2.35E-17  
 87-Fr-216      45.0       --     Alpha   0.70    US          N/A  
 87-Fr-216      45.0    *  0.07   Alpha   71      NS   * 6.83E+03  
 65-Tb-143      45.1   ~*210.     EC      12       S  ~* 1.21E-01  
 77-Ir-179      45.2       7.27   EC      79       S     6.38E-04  
 93-Np-236      45.23      0.13   EC      153E+3   Y     1.87E-16  
 93-Np-236      45.24  ~   0.02   EC      22.5     H  ~  1.71E-09  
 94-Pu-240      45.24      0.04   Alpha   6561     Y     1.34E-15  
 63-Eu-155      45.30      1.31   B-      4.753    Y     6.05E-11  
 79-Au-194      45.32      5.4    IT      600     MS     6.24E-02  
 66-Dy-155      45.38     43.7    IT      6       US     5.05E+04  
 67-Ho-155      45.38      4.5    EC      48       M     1.08E-05  
 72-Hf-163      45.39   * 48.     EC      40.0     S   * 8.32E-03  
 35-Br- 76      45.48     48.35   IT      1.31     S     2.56E-01  
 36-Kr- 76      45.5      19.5    EC      14.8     H     2.54E-06  
 68-Er-161      45.54     21.39   IT      7.5     US     1.98E+04  
 69-Tm-161      45.54     25.     EC      30.2     M     9.56E-05  
 42-Mo-103      45.8    * 82.     B-      67.5     S   * 8.42E-03  
 51-Sb-114      45.8       --     IT      219     US          N/A  
 55-Cs-122      45.85      1.66   IT      0.36     S     3.20E-02  
 34-Se- 72      45.89     57.2    EC      8.40     D     5.46E-07  
 35-Br- 82      45.95      --     IT      6.13     M          N/A  
 99-Es-257      46.0    * 21.     B-      7.7      D   * 2.19E-07  
 62-Sm-153      46.1       2.18   IT      10.6    MS     1.43E+00  
 98-Cf-253      46.4       --     B-      17.81    D          N/A  
 75-Re-183      46.48      7.97   EC      70.0     D     9.13E-09  
 82-Pb-210      46.54      4.25   B-      22.20    Y     4.20E-11  
 53-I -115      46.9       8.27   IT      144     US     3.98E+02  
 79-Au-190      47.        --     IT      125     MS          N/A  
 37-Rb- 78      47.10      0.86   IT      5.74     M     1.73E-05  
 69-Tm-165      47.16     16.86   EC      30.06    H     1.08E-06  
 42-Mo- 86      47.3    * 43.     EC      19.6     S   * 1.52E-02  
 66-Dy-155      47.37     13.4    IT      6       US     1.55E+04  
 41-Nb- 84      47.4     1040.    IT      103     NS     7.00E+07  
 47-Ag-114      47.4       --     IT      1.50    MS          N/A  
 94-Pu-236      47.57      0.07   Alpha   2.858    Y     5.38E-12  
 47-Ag-116      47.9       --     IT      20       S          N/A  
 78-Pt-191      48.2       0.22   IT      95      US     1.61E+01  
 34-Se- 86      48.3      15.35   B-      14.3     S     7.44E-03  
 71-Lu-170      48.42      0.43   IT      0.67     S     4.45E-03  
 55-Cs-141      48.53      7.9    B-      24.84    S     2.20E-03  
 95-Am-242      48.63      --     IT      141      Y          N/A  
 95-Am-239      48.8     5.E-03   Alpha   11.9     H          N/A  
 35-Br- 80      48.85      0.32   IT      4.4205   H     1.39E-07  
 65-Tb-161      48.92     17.03   B-      6.906    D     1.98E-07  
