-------------------------------------------------------------------
  Nuclide     Energy   Intensity  Decay   Half-life   Effective    
 67-Ho-159     309.59     17.23   EC      33.05    M     6.02E-05  
 64-Gd-139     309.7       --     B+      5.8      S          N/A  
 36-Kr- 72     309.9      15.48   EC      17.1     S     6.27E-03  
 41-Nb-105     309.9    *108.     B-      2.95     S   * 2.54E-01  
 92-U -227     310.        3.6    Alpha   1.1      M     3.78E-04  
 87-Fr-229     310.1      29.97   B-      50.2     S     4.14E-03  
 66-Dy-167     310.26     25.01   B-      6.20     M     4.66E-04  
 27-Co- 65     310.4       2.38   B-      1.16     S     1.42E-02  
 79-Au-185     310.6    *200.     EC      --           *      N/A  
 54-Xe-116     310.7    * 42.     EC      59       S   * 4.93E-03  
 26-Fe- 64     310.8   ~   7.     B-      2.0      S  ~  2.43E-02  
 40-Zr- 80     311.        --     EC      4.6      S          N/A  
 72-Hf-154     311.        --     IT      9       US          N/A  
 73-Ta-165     311.0       --     EC      31.0     S          N/A  
 64-Gd-138     311.3       --     EC      4.7      S          N/A  
 49-In-119     311.39      1.72   IT      18.0     M     1.10E-05  
 46-Pd-109     311.4       0.03   B-      13.7012  H     4.22E-09  
 46-Pd- 95     311.6       0.88   B+P     13.3     S     4.59E-04  
 49-In-114     311.65     89.85   IT      43.1    MS     1.44E+01  
 45-Rh- 94     311.7      97.3    EC      25.8     S     2.61E-02  
 73-Ta-166     311.87     24.18   EC      34.4     S     4.87E-03  
 36-Kr- 77     311.9       3.73   EC      74.4     M     5.79E-06  
 91-Pa-233     311.90     38.5    B-      26.975   D     1.15E-07  
 52-Te-133     312.08     62.4    B-      12.5     M     5.77E-04  
 93-Np-233     312.1       0.7    EC      36.2     M     2.23E-06  
 45-Rh-107     312.21      4.8    B-      21.7     M     2.56E-05  
 70-Yb-152     312.3      86.     IT      30      US     1.99E+04  
 19-K - 42     312.60      0.34   B-      12.360   H     5.30E-08  
 21-Sc- 42     312.60    7.E-03   EC      680.8   MS          N/A  
 71-Lu-152     312.6      73.95   EC      0.7      S     7.32E-01  
 67-Ho-145     312.9      14.25   EC      2.4      S     4.12E-02  
 27-Co- 67     313.1       3.     B-      0.425    S     4.89E-02  
 79-Au-183     313.1       5.     EC      42.0     S     8.25E-04  
 49-In-121     313.6       0.48   IT      3.88     M     1.43E-05  
 72-Hf-164     313.7    * 53.     EC      111      S   * 3.31E-03  
 50-Sn-103     314.0      18.     EC      7.0      S     1.78E-02  
 51-Sb-128     314.00     88.69   B-      10.4     M     9.85E-04  
 51-Sb-128     314.1      61.     B-      9.01     H     1.30E-05  
 50-Sn-117     314.3     4.E-04   IT      13.60    D          N/A  
 55-Cs-119     314.3    * 29.     EC      30.4     S   * 6.61E-03  
 63-Eu-161     314.3       --     B-      26       S          N/A  
 34-Se- 68     314.5      40.79   B+      35.5     S     7.96E-03  
 47-Ag-121     314.55     32.1    B-      0.78     S     2.85E-01  
 59-Pr-147     314.7      17.5    B-      13.4     M     1.51E-04  
 64-Gd-161     314.92     22.69   B-      3.66     M     7.16E-04  
 91-Pa-230     314.92      0.08   B-      17.4     D     3.69E-10  
 69-Tm-164     314.97     10.     EC      5.1      M     2.27E-04  
 68-Er-148     315.2    * 97.     EC      4.6      S   * 1.46E-01  
 72-Hf-167     315.24    100.     EC      2.05     M     5.64E-03  
 49-In-117     315.30     19.12   IT      116.2    M     1.90E-05  
 49-In-129     315.3      65.74   B-      1.23     S     3.70E-01  
 76-Os-196     315.4       2.5    B-      34.9     M     8.28E-06  
 59-Pr-133     315.6    * 88.     EC      6.5      M   * 1.56E-03  
 36-Kr- 76     315.7      39.     EC      14.8     H     5.07E-06  
 67-Ho-152     316.        --     Alpha   50.0     S          N/A  
 99-Es-254     316.        0.15   Alpha   275.7    D     4.36E-11  
 47-Ag-113     316.1      17.64   B-      68.7     S     1.78E-03  
 84-Po-202     316.14     13.73   EC      44.6     M     3.56E-05  
 74-W -170     316.2    *100.     EC      2.42     M   * 4.77E-03  
 47-Ag-113     316.3       1.34   B-      5.37     H     4.80E-07  
 53-I -134     316.3   <   0.47   IT      3.52     M  <  1.54E-05  
 78-Pt-183     316.4      53.     EC      43       S     8.54E-03  
 77-Ir-192     316.51      --     B-      1.45     M          N/A  
 77-Ir-192     316.51     82.71   B-      73.827   D     8.99E-08  
 79-Au-192     316.51     58.     EC      4.94     H     2.26E-05  
 58-Ce-146     316.74     56.2    B-      13.52    M     4.80E-04  
 70-Yb-152     316.75      7.11   EC      3.04     S     1.62E-02  
 78-Pt-199     317.03      3.88   B-      30.8     M     1.46E-05  
 76-Os-183     317.5      56.     IT      30      NS     1.29E+07  
 81-Tl-189     317.5    *111.     EC      1.4      M   * 9.16E-03  
 50-Sn-134     317.7       3.6    B-      1.050    S     2.38E-02  
" 50-Sn-135     317.8       --     B-,N    530     MS          N/A  "
 30-Zn- 69     318.4     1.E-03   B-      56.4     M          N/A  
 82-Pb-189     318.8    * 29.     EC      39       S   * 5.15E-03  
 45-Rh-105     318.9      19.1    B-      35.36    H     1.04E-06  
 16-S - 43     319.        --     IT      0.48    US          N/A  
 71-Lu-177     319.02     10.53   IT      160.44   D     5.27E-09  
 72-Hf-172     319.1    *100.     IT      163     NS   * 4.25E+06  
 47-Ag-105     319.16      0.16   EC      7.23     M     2.56E-06  
 60-Nd-147     319.41      2.13   B-      10.98    D     1.56E-08  
 95-Am-236     319.50     20.     EC      3.6      M     6.42E-04  
 50-Sn-102     320.       22.5    EC      3.8      S     4.10E-02  
 83-Bi-188     320.        --     Alpha   265     MS          N/A  
 22-Ti- 51     320.08     93.1    B-      5.76     M     1.87E-03  
 24-Cr- 51     320.08      9.91   EC      27.7010  D     2.87E-08  
 69-Tm-152     320.1      84.     IT      294     NS     1.98E+06  
 53-I -119     320.53      2.16   EC      19.1     M     1.31E-05  
 71-Lu-162     320.60   * 16.67   EC      --           *      N/A  
 94-Pu-237     320.75    5.E-04   Alpha   45.2     D          N/A  
 49-In-107     320.94     10.2    EC      32.4     M     3.64E-05  
 79-Au-189     321.1      11.8    EC      4.59     M     2.97E-04  
 80-Hg-189     321.1      24.     EC      8.6      M     3.22E-04  
 67-Ho-148     321.3      62.3    IT      2.35    MS     1.84E+02  
 67-Ho-167     321.3      23.94   B-      3.1      H     1.49E-05  
 71-Lu-177     321.32      0.21   B-      6.647    D     2.53E-09  
 90-Th-225     321.4      22.5    Alpha   8.72     M     2.98E-04  
 43-Tc-105     321.5      11.15   B-      7.6      M     1.69E-04  
 51-Sb-114     321.8       --     IT      219     US          N/A  
 43-Tc- 99     322.4     1.E-04   B-      6.0067   H          N/A  
 53-I -115     322.5      84.39   IT      144     US     4.06E+03  
 64-Gd-139     322.5       --     B+      5.8      S          N/A  
 55-Cs-120     322.54   *100.     EC      --           *      N/A  
 78-Pt-171     323.1      51.9    IT      901     NS     3.99E+05  
 69-Tm-155     323.2    *  6.37   EC      45       S   * 9.81E-04  
 22-Ti- 55     323.4      20.     B-      1.3      S     1.07E-01  
 81-Tl-200     323.7       9.64   IT      34.0    MS     1.97E+00  
 83-Bi-213     323.81      0.16   Alpha   45.59    M     4.05E-07  
 88-Ra-223     323.87      3.99   Alpha   11.43    D     2.80E-08  
 36-Kr- 93     323.89     24.1    B-      1.286    S     1.30E-01  
 46-Pd-117     323.9    * 37.     B-      4.3      S   * 5.96E-02  
 48-Cd-121     324.22     47.7    B-      13.5     S     2.45E-02  
 88-Ra-222     324.31      2.77   Alpha   36.17    S     5.31E-04  
 81-Tl-193     324.37   *100.     EC      21.6     M   * 5.35E-04  
 44-Ru- 97     324.49     10.79   EC      2.83     D     3.06E-07  
 62-Sm-158     324.5      10.6    B-      5.30     M     2.31E-04  
 86-Rn-206     324.5    * 38.     EC      5.67     M   * 7.74E-04  
 52-Te-135     325.0      96.     IT      0.511   US     1.30E+06  
 76-Os-174     325.     * 43.     EC      44       S   * 6.77E-03  
101-Md-257     325.1       2.49   Alpha   5.52     H     8.69E-07  
 47-Ag- 96     325.2      87.02   EC      4.40     S     1.37E-01  
 87-Fr-208     325.2       5.71   EC      59.1     S     6.70E-04  
 45-Rh-101     325.23     11.83   EC      3.3      Y     7.87E-10  
" 48-Cd- 97     325.3       --     EC,P    2.8      S          N/A  "
 58-Ce-132     325.5      92.     IT      9.4     MS     6.78E+01  
 72-Hf-178     325.56     94.1    IT      31       Y     6.67E-10  
 72-Hf-178     325.56     94.1    IT      4.0      S     1.63E-01  
 73-Ta-178     325.56     94.1    EC      2.36     H     7.68E-05  
 71-Lu-178     325.60     94.1    B-      23.1     M     4.71E-04  
 31-Ga- 73     325.70     11.17   B-      4.86     H     4.43E-06  
 60-Nd-138     325.76      2.93   EC      5.04     H     1.12E-06  
 53-I -117     325.8      75.     B+      2.22     M     3.90E-03  
 76-Os-171     326.        7.78   EC      8.3      S     6.50E-03  
 46-Pd-119     326.1    * 52.     B-      0.92     S   * 3.92E-01  
 61-Pm-130     326.3      76.     EC      2.6      S     2.03E-01  
 81-Tl-191     326.3    * 77.     EC      5.22     M   * 1.70E-03  
 66-Dy-157     326.34     93.     EC      8.14     H     2.20E-05  
 39-Y -102     326.64   * 42.     B-      0.36     S   * 8.09E-01  
 72-Hf-177     326.7      68.25   IT      51.4     M     1.53E-04  
 45-Rh-109     326.83     52.     B-      80       S     4.51E-03  
 44-Ru-112     327.0      39.     B-      1.75     S     1.54E-01  
 51-Sb-114     327.18      7.21   B+      3.49     M     2.39E-04  
 97-Bk-249     327.2     2.E-05   Alpha   320      D          N/A  
 93-Np-232     327.3      53.     EC      14.7     M     4.17E-04  
 94-Pu-245     327.43     27.     B-      10.5     H     4.95E-06  
 63-Eu-149     327.53      4.03   EC      93.1     D     3.47E-09  
 20-Ca- 38     328.        3.02   EC      440     MS     4.76E-02  
 82-Pb-186     328.        --     Alpha   4.82     S          N/A  
 81-Tl-207     328.10    1.E-03   B-      4.77     M          N/A  
 84-Po-211     328.2     3.E-03   Alpha   0.516    S          N/A  
 77-Ir-194     328.45     13.1    B-      19.28    H     1.31E-06  
 79-Au-194     328.46     60.4    EC      38.02    H     3.06E-06  
 77-Ir-194     328.5      93.     B-      171      D     4.36E-08  
 74-W -174     328.68      8.91   EC      33.2     M     3.10E-05  
 65-Tb-140     328.7      87.7    EC      2.4      S     2.53E-01  
 88-Ra-222     328.9     4.E-03   Alpha   36.17    S          N/A  
 78-Pt-183     329.0      36.     EC      43       S     5.80E-03  
 43-Tc- 92     329.3      79.9    EC      4.25     M     2.17E-03  
 25-Mn- 46     329.4       6.44   B+P     36.2    MS     1.23E+00  
 64-Gd-145     329.5       4.27   EC      85       S     3.48E-04  
 69-Tm-145     330.        --     P       3.1     US          N/A  
 99-Es-244  ~  330.        --     Alpha   37       S          N/A  
 54-Xe-123     330.2       8.56   EC      2.08     H     7.92E-06  
 51-Sb-130     330.91     78.     B-      39.5     M     2.28E-04  
 55-Cs-122     331.1      47.5    EC      21.18    S     1.55E-02  
 55-Cs-122     331.1      93.5    EC      3.70     M     2.92E-03  
 81-Tl-201     331.1      85.8    IT      2.01    MS     2.96E+02  
 82-Pb-201     331.15     76.89   EC      9.33     H     1.59E-05  
 82-Pb-187     331.4    * 54.3    EC      18.3     S   * 2.06E-02  
 49-In-131     331.72      3.6    B-      0.35     S     7.13E-02  
 12-Mg- 21     331.91     51.     B+      122     MS     2.90E+00  
 50-Sn-125     331.94     97.3    B-      9.52     M     1.18E-03  
 79-Au-185     332.0    * 87.     EC      --           *      N/A  
 82-Pb-199     332.2    * 20.3    EC      12.2     M   * 1.92E-04  
 72-Hf-180     332.27     94.12   IT      5.5      H     3.29E-05  
 55-Cs-146     332.38   * 11.3    B-      0.321    S   * 2.44E-01  
 51-Sb-113     332.41     14.8    EC      6.67     M     2.56E-04  
 45-Rh-114     332.5      56.     B-      1.85     S     2.10E-01  
 45-Rh-114     332.5      87.     B-      1.85     S     3.26E-01  
 79-Au-200     332.82     13.64   IT      18.7     H     1.40E-06  
 79-Au-196     333.03     22.87   EC      6.1669   D     2.98E-07  
 64-Gd-144     333.3       5.93   EC      4.47     M     1.53E-04  
 81-Tl-182     333.3    * 29.25   EC      3.1      S   * 6.54E-02  
 98-Cf-249     333.37     14.98   Alpha   351      Y     9.37E-12  
 81-Tl-189     333.7    *100.     EC      2.3      M   * 5.02E-03  
 63-Eu-150     333.9       3.96   EC      12.8     H     5.96E-07  
 61-Pm-150     333.92     68.     B-      2.68     H     4.89E-05  
 63-Eu-150     333.97     96.     EC      36.9     Y     5.71E-10  
 52-Te-136     333.99     18.8    B-      17.5     S     7.45E-03  
 34-Se- 87     334.0      21.53   B-      5.50     S     2.71E-02  
 67-Ho-145     334.1      13.5    EC      2.4      S     3.90E-02  
 52-Te-133     334.27      7.17   IT      55.4     M     1.50E-05  
 67-Ho-154     334.6      84.38   EC      11.76    M     8.29E-04  
 67-Ho-154     334.6      93.9    EC      3.10     M     3.50E-03  
 59-Pr-131     334.96   *140.     EC      1.51     M   * 1.07E-02  
 81-Tl-189     335.    ~* 70.     EC      1.4      M  ~* 5.78E-03  
 69-Tm-158     335.08     16.8    EC      3.98     M     4.88E-04  
 85-At-217     335.33    6.E-03   Alpha   32.3    MS          N/A  
 43-Tc-113     335.5      16.5    B-      160     MS     7.15E-01  
 35-Br- 73     335.9      10.43   EC      3.4      M     3.54E-04  
 71-Lu-154     335.9      46.58   IT      35      US     9.22E+03  
 32-Ge- 81     335.98     12.41   B-      7.6      S     1.13E-02  
 32-Ge- 81     335.98     58.93   B-      7.6      S     5.37E-02  
" 11-Na- 30     336.1       0.79   B-,N    48      MS     1.14E-01  "
 64-Gd-141     336.2      17.15   EC      14       S     8.49E-03  
 87-Fr-229     336.2      21.5    B-      50.2     S     2.97E-03  
 48-Cd-115     336.24     45.9    B-      53.46    H     1.65E-06  
 49-In-115     336.24     45.79   IT      4.486    H     1.97E-05  
 44-Ru- 95     336.40     69.89   EC      1.643    H     8.19E-05  
 55-Cs-118     337.2    *100.     B+      --           *      N/A  
 86-Rn-209     337.45     14.51   EC      28.5     M     5.88E-05  
 71-Lu-166     337.50     41.4    EC      2.65     M     1.80E-03  
 44-Ru-113     337.6      11.74   B-      0.51     S     1.60E-01  
 44-Ru-113     337.6      13.08   B-      0.80     S     1.13E-01  
 47-Ag-117     337.7      10.28   B-      72.8     S     9.79E-04  
 79-Au-178     337.9    * 19.56   EC      2.6      S   * 5.21E-02  
 89-Ac-228     338.32     11.27   B-      6.15     H     3.53E-06  
 69-Tm-151     338.8      85.26   IT      0.451   US     1.31E+06  
 69-Tm-151     338.8     100.     IT      24      NS     2.89E+07  
 29-Cu- 59     339.30      7.97   EC      81.5     S     6.78E-04  
 67-Ho-145     339.8      15.     EC      2.4      S     4.33E-02  
" 15-P - 40     339.88   *  0.73   B-,N    153     MS   * 3.31E-02  "
 81-Tl-184     339.9    * 24.47   EC      10.1     S   * 1.68E-02  
 79-Au-188     340.04   * 23.9    EC      8.84     M   * 3.12E-04  
 26-Fe- 65     340.07     28.15   B-      0.81     S     2.41E-01  
 61-Pm-151     340.08     22.5    B-      28.40    H     1.53E-06  
 45-Rh-116     340.3      88.     B-      0.57     S     1.07E+00  
 61-Pm-152     340.4      31.28   B-      7.52     M     4.81E-04  
 87-Fr-210     340.4    * 62.48   Alpha   3.18     M   * 2.27E-03  
 91-Pa-233     340.48      4.45   B-      26.975   D     1.32E-08  
 45-Rh-116     340.5      82.     B-      0.68     S     8.36E-01  
 50-Sn-132     340.53     48.8    B-      39.7     S     8.52E-03  
 55-Cs-136     340.55     42.17   B-      13.16    D     2.57E-07  
 45-Rh- 99     340.8      69.     B+      4.7      H     2.83E-05  
 67-Ho-157     341.16     17.48   EC      12.6     M     1.60E-04  
 62-Sm-140     341.3       2.1    EC      14.82    M     1.64E-05  
 80-Hg-203     341.5       --     IT      24      US          N/A  
 60-Nd-138     341.65      0.41   EC      5.04     H     1.57E-07  
 72-Hf-166     341.82      4.97   EC      6.77     M     8.48E-05  
 31-Ga- 78     342.0   >   1.7    IT      500     NS  >  2.36E+04  
" 49-In-100     342.        --     EC,P    5.9      S          N/A  "
 47-Ag-111     342.13      6.68   B-      7.45     D     7.19E-08  
 47-Ag- 99     342.6      98.     IT      10.5     S     6.47E-02  
 77-Ir-174     342.6    *627.     EC      --           *      N/A  
 89-Ac-220     342.7       3.5    Alpha   26.4    MS     9.19E-01  
 46-Pd-115     342.71      7.6    B-      25       S     2.11E-03  
 48-Cd- 99     342.9    *100.     B+      16       S   * 4.33E-02  
 48-Cd-119     343.0      16.97   B-      2.69     M     7.29E-04  
 65-Tb-146     343.1    * 91.     IT      1.18    MS   * 5.35E+02  
 72-Hf-175     343.40     84.     EC      70       D     9.63E-08  
 33-As- 82     343.5      57.6    B-      13.6     S     2.94E-02  
 82-Pb-187     343.5    * 67.88   EC      18.3     S   * 2.57E-02  
 65-Tb-141     343.6      16.3    EC      3.5      S     3.23E-02  
 68-Er-149     343.9       6.27   EC      8.9      S     4.88E-03  
" 69-Tm-150     343.9       --     EC,P    --                  N/A  "
 69-Tm-153     344.0       --     Alpha   1.48     S          N/A  
 69-Tm-153     344.0       --     Alpha   2.5      S          N/A  
 72-Hf-182     344.1      45.64   IT      61.5     M     8.57E-05  
 65-Tb-152     344.26     20.09   EC      4.2      M     5.53E-04  
 63-Eu-152     344.28     26.56   B-      13.537   Y     4.31E-10  
 65-Tb-152     344.28     65.     EC      17.5     H     7.15E-06  
 63-Eu-152     344.31      2.38   B-      9.3116   H     4.92E-07  
 48-Cd-117     344.46     17.88   B-      2.49     H     1.38E-05  
 87-Fr-211     344.5       --     Alpha   3.10     M          N/A  
 47-Ag-105     344.52     41.4    EC      41.29    D     8.04E-08  
 80-Hg-206     344.52      0.55   B-      8.32     M     7.64E-06  
 69-Tm-156     344.55     85.7    EC      83.8     S     7.09E-03  
 72-Hf-184     344.9      35.15   B-      4.12     H     1.64E-05  
 30-Zn- 65     344.95    3.E-03   EC      243.93   D          N/A  
 34-Se- 85     345.2      46.     B-      31.7     S     1.01E-02  
 72-Hf-181     345.93     15.12   B-      42.39    D     2.86E-08  
 73-Ta-181     346.     * 16.     IT      18.9    US   * 5.87E+03  
 43-Tc-103     346.38     17.5    B-      54.2     S     2.24E-03  
 67-Ho-167     346.5      57.     B-      3.1      H     3.54E-05  
 78-Pt-197     346.5      11.12   IT      95.41    M     1.35E-05  
 64-Gd-149     346.65     23.91   EC      9.28     D     2.07E-07  
 65-Tb-154     346.70     69.13   EC      22.7     H     5.86E-06  
 48-Cd-105     346.87      4.2    EC      55.5     M     8.74E-06  
 48-Cd- 98     347.18     78.     EC      9.2      S     5.88E-02  
 72-Hf-171     347.18   *150.     EC      12.1     H   * 2.39E-05  
 63-Eu-138     347.7    *1000.    EC      12.1     S   * 5.73E-01  
 51-Sb-121     348.0    * 84.     IT      179     US   * 3.25E+03  
 66-Dy-159     348.1     9.E-04   EC      144.4    D          N/A  
 64-Gd-159     348.28      0.24   B-      18.479   H     2.50E-08  
 71-Lu-168     348.3   ~* 66.     EC      5.5      M  ~* 1.39E-03  
 69-Tm-157     348.40      8.37   EC      3.63     M     2.66E-04  
 70-Yb-178     348.4    * 64.     B-      74       M   * 9.99E-05  
 93-Np-231     348.4       3.63   EC      48.8     M     8.59E-06  
 73-Ta-175     348.5      12.     EC      10.5     H     2.20E-06  
 24-Cr- 60     348.6       --     B-      0.49     S          N/A  
 89-Ac-214     348.6       --     Alpha   8.2      S          N/A  
 45-Rh-112     348.7      32.94   B-      2.1      S     1.09E-01  
 45-Rh-112     348.7      86.77   B-      6.8      S     8.84E-02  
 23-V - 62     349.        --     B-      33.5    MS          N/A  
 48-Cd-121     349.20     12.4    B-      13.5     S     6.37E-03  
 99-Es-250     349.4      20.09   EC      8.6      H     4.50E-06  
 59-Pr-126     349.54     52.56   EC      3.14     S     1.16E-01  
 81-Tl-187     349.6    * 11.6    EC      --           *      N/A  
 71-Lu-154     350.0      61.48   IT      35      US     1.22E+04  
 86-Rn-208     350.03      3.48   EC      24.35    M     1.65E-05  
 54-Xe-122     350.06      7.8    EC      20.1     H     7.47E-07  
 75-Re-172     350.4    * 55.     EC      15       S   * 2.54E-02  
 41-Nb-106     350.7    * 39.     B-      0.93     S   * 2.91E-01  
  9-F - 21     350.73     89.55   B-      4.158    S     1.49E-01  
 11-Na- 21     350.73      5.07   B+      22.49    S     1.56E-03  
 80-Hg-207     351.0    *960.     B-      2.9      M   * 3.82E-02  
 81-Tl-207     351.07   * 80.5    IT      1.33     S   * 4.20E-01  
 83-Bi-211     351.07     13.02   Alpha   2.14     M     7.03E-04  
 30-Zn- 81     351.1       --     B-      0.32     S          N/A  
 64-Gd-141     351.1      13.88   EC      24.5     S     3.93E-03  
 65-Tb-163     351.2      26.32   B-      19.5     M     1.56E-04  
 68-Er-153     351.2      21.15   EC      37.1     S     3.95E-03  
 75-Re-176     351.4       8.12   EC      5.3      M     1.77E-04  
 81-Tl-182     351.4    * 97.5    EC      3.1      S   * 2.18E-01  
 53-I -113     351.5    * 43.     EC      6.6      S   * 4.52E-02  
 82-Pb-214     351.93     35.6    B-      26.8     M     1.53E-04  
 39-Y -100     351.96     26.     B-      0.94     S     1.92E-01  
 34-Se- 67     352.        --     EC      136     MS          N/A  
 37-Rb- 95     352.0      49.     B-      377.7   MS     8.99E-01  
" 37-Rb- 96     352.0       7.65   B-,N    203     MS     2.61E-01  "
 87-Fr-219     352.0       0.56   Alpha   20      MS     1.94E-01  
 74-W -168     352.2       1.4    EC      50.9     S     1.91E-04  
 65-Tb-149     352.24     29.43   EC      4.118    H     1.38E-05  
 81-Tl-199     353.        4.57   IT      28.4    MS     1.12E+00  
 45-Rh- 99     353.05     34.58   B+      16.1     D     1.72E-07  
 82-Pb-199     353.39      9.46   EC      90       M     1.21E-05  
 47-Ag-121     353.43     19.9    B-      0.78     S     1.77E-01  
 73-Ta-183     353.99     11.23   B-      5.1      D     1.77E-07  
 55-Cs-124     354.01     47.     EC      30.8     S     1.06E-02  
 24-Cr- 61     354.8      16.     B-      243     MS     4.56E-01  
 24-Cr- 62     355.     * 85.     B-      206     MS   * 2.86E+00  
 71-Lu-153     355.4      51.3    IT      15      US     2.37E+04  
 37-Rb- 76     355.6       8.02   EC      36.5     S     1.52E-03  
 77-Ir-196     355.7      18.     B-      52       S     2.40E-03  
 79-Au-196     355.73     86.95   EC      6.1669   D     1.13E-06  
 57-La-145     355.8       3.83   B-      24.8     S     1.07E-03  
 25-Mn- 63     356.        --     B-      0.275    S          N/A  
 56-Ba-133     356.01     62.05   EC      10.52    Y     1.30E-09  
 34-Se- 83     356.69     17.5    B-      70.1     S     1.73E-03  
 34-Se- 83     356.70     70.     B-      22.3     M     3.63E-04  
 81-Tl-186     356.77   * 32.     EC      27.5     S   * 8.07E-03  
 56-Ba-130     357.2      96.5    IT      9.4     MS     7.12E+01  
 57-La-130     357.4      81.     EC      8.7      M     1.08E-03  
 46-Pd-103     357.45      0.02   EC      16.991   D     9.44E-11  
 85-At-193     357.6       --     Alpha   27      MS          N/A  
 43-Tc-104     358.0      89.     B-      18.3     M     5.62E-04  
" 58-Ce-121     358.        --     EC,P    1.1      S          N/A  "
 45-Rh-104     358.12      0.02   EC      42.3     S     3.28E-06  
 71-Lu-158     358.2    *100.     EC      10.6     S   * 6.54E-02  
100-Fm-251     358.3       0.32   Alpha   5.30     H     1.16E-07  
 46-Pd-114     358.5       1.63   B-      2.42     M     7.78E-05  
 70-Yb-152     358.5      95.     IT      30      US     2.19E+04  
 41-Nb-100     358.6      35.2    IT      13      US     1.88E+04  
 71-Lu-152     358.7      75.65   EC      0.7      S     7.49E-01  
 90-Th-225     359.0       4.05   Alpha   8.72     M     5.37E-05  
 83-Bi-216     359.5    * 81.2    B-      2.25     M   * 4.17E-03  
 55-Cs-142     359.60     27.2    B-      1.684    S     1.12E-01  
 78-Pt-191     359.88      6.42   EC      2.802    D     1.84E-07  
 18-Ar- 47     360.       70.     B-      1.23     S     3.94E-01  
 52-Te-127     360.3       0.13   B-      9.35     H     2.68E-08  
 75-Re-181     360.7      19.76   EC      19.9     H     1.91E-06  
 78-Pt-184     360.8      55.38   IT      1.01    MS     3.80E+02  
 64-Gd-161     360.94     60.05   B-      3.66     M     1.90E-03  
 66-Dy-149     361.0       0.84   EC      0.490    S     1.19E-02  
 34-Se- 73     361.2      97.     EC      7.15     H     2.61E-05  
 76-Os-190     361.2      94.88   IT      9.9      M     1.11E-03  
 77-Ir-190     361.2      86.72   EC      3.087    H     5.41E-05  
 82-Pb-201     361.25      9.46   EC      9.33     H     1.95E-06  
 66-Dy-165     361.47      0.53   B-      1.257    M     4.87E-05  
 70-Yb-155     361.6    *  5.06   EC      1.793    S   * 1.96E-02  
 66-Dy-165     361.68      0.9    B-      2.334    H     7.42E-07  
 45-Rh-114     361.9      20.16   B-      1.85     S     7.55E-02  
 84-Po-199     361.9    * 36.6    EC      --           *      N/A  
 79-Au-184     362.3    * 41.     EC      --           *      N/A  
 72-Hf-179     362.55     39.6    IT      25.05    D     1.27E-07  
 77-Ir-178     362.8    * 39.9    EC      12       S   * 2.30E-02  
 36-Kr- 85     362.81    2.E-06   B-      10.756   Y          N/A  
 75-Re-168     363.2      88.     EC      4.4      S     1.39E-01  
 81-Tl-206     363.3     1.E-04   B-      4.202    M          N/A  
 64-Gd-159     363.54     11.78   B-      18.479   H     1.23E-06  
 56-Ba-117     363.6    *113.     B+      1.75     S   * 4.48E-01  
 62-Sm-158     363.6      12.4    B-      5.30     M     2.70E-04  
 69-Tm-175     363.8      12.7    B-      15.2     M     9.65E-05  
 66-Dy-140     364.0    * 99.     IT      7.0     US   * 9.80E+04  
 53-I -131     364.49     81.5    B-      8.0252   D     8.15E-07  
 33-As- 79     364.5       1.86   B-      9.01     M     2.38E-05  
 35-Br- 91     364.8    * 40.     B-      0.541    S   * 5.12E-01  
 66-Dy-147     364.8    * 17.22   EC      55.2     S   * 2.16E-03  
 66-Dy-147     364.8    * 25.     EC      67       S   * 2.59E-03  
 81-Tl-193     365.0      67.65   IT      2.11     M     3.70E-03  
 41-Nb- 99     365.1   ?   2.84   IT      2.5      M  ?  1.31E-04  
 57-La-131     365.16     16.93   EC      59       M     3.31E-05  
 82-Pb-198     365.4      19.47   EC      2.4      H     1.56E-05  
 10-Ne- 30     365.5       9.     B-      7.3     MS     8.55E+00  
 75-Re-181     365.5      56.46   EC      19.9     H     5.46E-06  
 30-Zn- 76     365.98      7.52   B-      5.7      S     9.14E-03  
 67-Ho-153     366.0    * 99.82   EC      9.3      M   * 1.24E-03  
 47-Ag-119     366.2      12.18   B-      2.1      S     4.02E-02  
 67-Ho-156     366.22     14.26   EC      56       M     2.94E-05  
 28-Ni- 65     366.27      4.81   B-      2.51719  H     3.68E-06  
 67-Ho-156     366.4      72.     EC      7.8      M     1.07E-03  
 69-Tm-174     366.4      92.22   B-      5.4      M     1.97E-03  
 82-Pb-196     366.5      11.11   EC      37       M     3.47E-05  
 91-Pa-230     366.65      0.07   B-      17.4     D     3.23E-10  
 81-Tl-184     366.7    * 97.9    EC      10.1     S   * 6.72E-02  
 82-Pb-199     366.90     44.24   EC      90       M     5.68E-05  
 26-Fe- 67     367.     *100.     IT      75      US   * 9.24E+03  
 60-Nd-133     367.0      10.63   EC      70       S     1.05E-03  
 81-Tl-199     367.0      87.     IT      28.4    MS     2.12E+01  
 82-Pb-188     367.        --     Alpha   25.1     S          N/A  
 44-Ru- 94     367.2      75.2    EC      51.8     M     1.68E-04  
 72-Hf-184     367.6      96.     IT      48       S     1.39E-02  
 36-Kr- 73     367.8      54.28   IT      107     NS     3.52E+06  
 61-Pm-139     367.8       3.52   EC      4.15     M     9.80E-05  
