Nucleus,Ex,T1/2,I,μ(nm),A,Z,symbol,latex
19 K 41,0,stable,3/2+,+0.2148701(2),41,19,K,$^{41}_{19}K$
19 K 42,0,12.36 h,2-,-1.1425(6),42,19,K,$^{42}_{19}K$
19 K 43,0,22.3 h,3/2+,+0.1633(8),43,19,K,$^{43}_{19}K$
19 K 44,0,22.1 m,2-,-0.856(4),44,19,K,$^{44}_{19}K$
19 K 45,0,20 m,3/2+,+0.1734(8),45,19,K,$^{45}_{19}K$
19 K 46,0,115 s,2-,-1.051(6),46,19,K,$^{46}_{19}K$
19 K 47,0,17.5 s,1/2+,+1.933(9),47,19,K,$^{47}_{19}K$
20 Ca 39,0,0.86 s,3/2+,1.02168(12),39,20,Ca,$^{39}_{20}Ca$
20 Ca 40,3737,47 ps,3-,+1.6(3),40,20,Ca,$^{40}_{20}Ca$
20 Ca 41,0,1.0x105 y,7/2-,-1.594781(9),41,20,Ca,$^{41}_{20}Ca$
20 Ca 42,1525,0.82 ps,2+,,42,20,Ca,$^{42}_{20}Ca$
20 Ca 43,0,stable,7/2-,-1.3173(6),43,20,Ca,$^{43}_{20}Ca$
20 Ca 44,1157,2.9 ps,2+,-0.6(2),44,20,Ca,$^{44}_{20}Ca$
20 Ca 45,0,165 d,7/2-,-1.3274(14),45,20,Ca,$^{45}_{20}Ca$
20 Ca 47,0,4.5 d,7/2-,-1.38(3),47,20,Ca,$^{47}_{20}Ca$
21 Sc 41,0,0.59 s,7/2-,+5.431(2) d,41,21,Sc,$^{41}_{21}Sc$
21 Sc 43,0,3.89 h,7/2-,+4.62(4),43,21,Sc,$^{43}_{21}Sc$
21 Sc 44,0,3.93 h,2+,+2.56(3),44,21,Sc,$^{44}_{21}Sc$
21 Sc 45,0,stable,7/2-,+4.756487(2),45,21,Sc,$^{45}_{21}Sc$
21 Sc 46,0,83.81 d,4+,+3.03(2),46,21,Sc,$^{46}_{21}Sc$
21 Sc 47,0,3.42 d,7/2-,+5.34(2),47,21,Sc,$^{47}_{21}Sc$
22 Ti 43,0,0.50 s,7/2-,0.85(2),43,22,Ti,$^{43}_{22}Ti$
22 Ti 45,0,3.09 h,7/2-,0.095(2),45,22,Ti,$^{45}_{22}Ti$
22 Ti 46,889,5.36 ps,2+,+1.0(3),46,22,Ti,$^{46}_{22}Ti$
22 Ti 47,0,stable,5/2-,-0.78848(1),47,22,Ti,$^{47}_{22}Ti$
22 Ti 48,984,4.29 ps,2+,+0.9(4),48,22,Ti,$^{48}_{22}Ti$
22 Ti 49,0,stable,7/2-,-1.10417(1),49,22,Ti,$^{49}_{22}Ti$
22 Ti  50,1554,0.97 ps,2+,2.7(8),50,22,Ti,$^{50}_{22}Ti$
23 V 46,802,1.02 ms,3+,+1.64(3),46,23,V,$^{46}_{23}V$
23 V 48,0,15.94 d,4+,2.012 (11),48,23,V,$^{48}_{23}V$
23 V 49,0,330 d,7/2-,4.47(5),49,23,V,$^{49}_{23}V$
23 V 50,0,1.5x1017 y,6+,+3.3456889(14),50,23,V,$^{50}_{23}V$
23 V 51,0,stable,7/2-,+5.1487057(2),51,23,V,$^{51}_{23}V$
24 Cr 49,0,41.9 m,5/2-,0.476(3),49,24,Cr,$^{49}_{24}Cr$
24 Cr 50,783,9.2 ps,2+,+1.2(2),50,24,Cr,$^{50}_{24}Cr$
24 Cr 51,0,27.7 d,7/2-,(-)0.934(5),51,24,Cr,$^{51}_{24}Cr$
24 Cr 52,1434,0.707 ps,2+,+3.0(5),52,24,Cr,$^{52}_{24}Cr$
24 Cr 53,0,stable,3/2-,-0.47454(3),53,24,Cr,$^{53}_{24}Cr$
24 Cr 54,835,8.0 ps,2+,+1.1(2),54,24,Cr,$^{54}_{24}Cr$
25 Mn 51,0,stable,5/2-,3.5683(13),51,25,Mn,$^{51}_{25}Mn$
25 Mn 52,0,5.80 d,6+,+3.0622(12),52,25,Mn,$^{52}_{25}Mn$
25 Mn 53,0,3.7x106 y,7/2-,5.024(7),53,25,Mn,$^{53}_{25}Mn$
25 Mn 54,0,312 d,3+,+3.2819(13),54,25,Mn,$^{54}_{25}Mn$
25 Mn 55,0,stable,5/2-,3.4532(13),55,25,Mn,$^{55}_{25}Mn$
25 Mn 56,0,2.58 h,3+,+3.2266(2),56,25,Mn,$^{56}_{25}Mn$
26 Fe 53,741,64 ns,3/2-,-0.386(15),53,26,Fe,$^{53}_{26}Fe$
26 Fe 54,1408,0.97 ps,2+,+3.4(8),54,26,Fe,$^{54}_{26}Fe$
26 Fe 55,931,8.3 ps,5/2-,+2.7(12),55,26,Fe,$^{55}_{26}Fe$
26 Fe 56,847,6.9 ps,2+,1.22(16),56,26,Fe,$^{56}_{26}Fe$
26 Fe 57,0,stable,1/2-,+0.09044(7),57,26,Fe,$^{57}_{26}Fe$
26 Fe 58,811,6.7 ps,2+,+0.9(3),58,26,Fe,$^{58}_{26}Fe$
26 Fe 59,0,44.6 d,3/2-,-0.3358(4),59,26,Fe,$^{59}_{26}Fe$
27 Co 55,0,17.5 h,7/2-,+4.822(3),55,27,Co,$^{55}_{27}Co$
27 Co 56,0,78.8 d,4+,3.85(1),56,27,Co,$^{56}_{27}Co$
27 Co 57,0,271 d,7/2-,+4.720(10),57,27,Co,$^{57}_{27}Co$
27 Co 58,0,70.8 d,2+,+4.044(8),58,27,Co,$^{58}_{27}Co$
27 Co 59,0,stable,7/2-,+4.627(9),59,27,Co,$^{59}_{27}Co$
27 Co 60,0,5.271 y,5+,+3.799(8),60,27,Co,$^{60}_{27}Co$
28 Ni 57,0,36 h,3/2-,-0.7975(14),57,28,Ni,$^{57}_{28}Ni$
28 Ni 58,1454,0.644 ps,2+,-0.1(3),58,28,Ni,$^{58}_{28}Ni$
28 Ni 59,339,83 ps,5/2-,+0.35(15),59,28,Ni,$^{59}_{28}Ni$
28 Ni 60,1332,0.713 ps,2+,+0.2(3),60,28,Ni,$^{60}_{28}Ni$
28 Ni 61,0,stable,3/2-,-0.75002(4),61,28,Ni,$^{61}_{28}Ni$
28 Ni 62,1173,1.43 ps,2+,+0.68(14),62,28,Ni,$^{62}_{28}Ni$
28 Ni 63,87,1.72 μs,5/2-,+0.752(3),63,28,Ni,$^{63}_{28}Ni$
28 Ni 64,1346,0.85 ps,2+,+0.9(3),64,28,Ni,$^{64}_{28}Ni$
28 Ni 65,0,2.520 h,5/2-,0.69(6),65,28,Ni,$^{65}_{28}Ni$
29 Cu 60,0,23.4 m,2+,+1.219(3),60,29,Cu,$^{60}_{29}Cu$
29 Cu 61,0,3.41 h,3/2-,+2.14(4),61,29,Cu,$^{61}_{29}Cu$
29 Cu 62,0,9.73 m,1+,-0.380(4),62,29,Cu,$^{62}_{29}Cu$
29 Cu 63,0,stable,3/2-,2.227206(3),63,29,Cu,$^{63}_{29}Cu$
29 Cu 64,0,12.7 h,1+,-0.217(2),64,29,Cu,$^{64}_{29}Cu$
29 Cu 65,0,stable,3/2-,+2.3817(3),65,29,Cu,$^{65}_{29}Cu$
29 Cu 66,0,5.1 m,1+,-0.282(2),66,29,Cu,$^{66}_{29}Cu$
30 Zn 63,0,38.1 m,3/2-,-0.28164(5),63,30,Zn,$^{63}_{30}Zn$
30 Zn 64,992,1.75 ps,2+,+0.8(2),64,30,Zn,$^{64}_{30}Zn$
30 Zn 65,0,244.1 d,5/2-,+0.7690(2),65,30,Zn,$^{65}_{30}Zn$
30 Zn 66,1039,1.56 ps,2+,+0.5(2),66,30,Zn,$^{66}_{30}Zn$
30 Zn 67,0,stable,5/2-,+0.875479(9),67,30,Zn,$^{67}_{30}Zn$
30 Zn 68,1077,0.9 ps,2+,+1.0(2),68,30,Zn,$^{68}_{30}Zn$
30 Zn 69,439,13.72 h,9/2+,1.157(2),69,30,Zn,$^{69}_{30}Zn$
30 Zn 70,885,3.2 ps,2+,+0.60(14),70,30,Zn,$^{70}_{30}Zn$
30 Zn 71,158,3.94 h,9/2+,1.052(6),71,30,Zn,$^{71}_{30}Zn$
31 Ga 66,66,23 ns,2+,1.01(2),66,31,Ga,$^{66}_{31}Ga$
31 Ga 67,0,78.3 h,3/2-,+1.8507(3),67,31,Ga,$^{67}_{31}Ga$
31 Ga 68,0,68.1 m,1+,0.01175(5),68,31,Ga,$^{68}_{31}Ga$
31 Ga 69,0,stable,3/2-,+2.01659(5),69,31,Ga,$^{69}_{31}Ga$
31 Ga 70,879,22.7 ns,4-,-0.26(10),70,31,Ga,$^{70}_{31}Ga$
31 Ga 71,0,stable,3/2-,+2.56227(2),71,31,Ga,$^{71}_{31}Ga$
31 Ga 72,0,14.1 h,3-,-0.13224(2),72,31,Ga,$^{72}_{31}Ga$
32 Ge 67,752,111 ns,9/2+,-0.849(12),67,32,Ge,$^{67}_{32}Ge$
32 Ge 68,3696,0.48 ps,6+,+2.4#,68,32,Ge,$^{68}_{32}Ge$
32 Ge 69,0,39.0 h,5/2-,0.735(7),69,32,Ge,$^{69}_{32}Ge$
32 Ge 70,1039,1.32 ps,2+,+0.94(5),70,32,Ge,$^{70}_{32}Ge$
32 Ge 71,0,11.2 d,1/2-,+0.547(5),71,32,Ge,$^{71}_{32}Ge$
32 Ge 72,834,3.29 ps,2+,+0.80(7),72,32,Ge,$^{72}_{32}Ge$
32 Ge 73,0,stable,9/2+,-0.8794677(2),73,32,Ge,$^{73}_{32}Ge$
32 Ge 74,596,12.5 ps,2+,+0.87(4),74,32,Ge,$^{74}_{32}Ge$
32 Ge 75,0,82.8 m,1/2-,+0.510(5),75,32,Ge,$^{75}_{32}Ge$
32 Ge 76,563,18.6 ps,2+,+0.84(5),76,32,Ge,$^{76}_{32}Ge$
33 As 68,2159,37 ns,"(7,8)-",|g|=0.23(2),68,33,As,$^{68}_{33}As$
33 As 69,0,15.2 m,5/2-,+1.58(16),69,33,As,$^{69}_{33}As$
33 As 70,0,53 m,4+,+2.1061(2),70,33,As,$^{70}_{33}As$
33 As 71,0,65.3 h,5/2-,(+)1.674(2),71,33,As,$^{71}_{33}As$
33 As 72,0,26 h,2-,-2.1566(3),72,33,As,$^{72}_{33}As$
33 As 73,66,5.0 ns,5/2-,+1.63(10),73,33,As,$^{73}_{33}As$
33 As 74,0,17.8 d,2-,-1.597(3),74,33,As,$^{74}_{33}As$
33 As 75,0,stable,3/2-,+1.43948(7),75,33,As,$^{75}_{33}As$
33 As 76,0,26.3 h,2-,-0.906(5),76,33,As,$^{76}_{33}As$
33 As 77,264,304 ps,5/2-,+0.74(2),77,33,As,$^{77}_{33}As$
34 Se 73,0,7.1 h,9/2+,0.87(5),73,34,Se,$^{73}_{34}Se$
