Nucleus,Ex,T1/2,I,μ(nm),A,Z,symbol,latex
60 Nd 136,3298,51.3 ps,10+,+11(4),136,60,Nd,$^{136}_{60}Nd$
60 Nd 137,0,38 m,1/2+,-0.633(5),137,60,Nd,$^{137}_{60}Nd$
60 Nd 138,3172,330 ns,10+,-1.74(4),138,60,Nd,$^{138}_{60}Nd$
60 Nd 139,0,30 m,3/2+,+0.907(7),139,60,Nd,$^{139}_{60}Nd$
60 Nd 140,3622,22 ns,10+,-1.92(12),140,60,Nd,$^{140}_{60}Nd$
60 Nd 141,0,2.49 h,3/2+,+1.012(9),141,60,Nd,$^{141}_{60}Nd$
60 Nd 142,1576,110 fs,2+,+1.69(15),142,60,Nd,$^{142}_{60}Nd$
60 Nd 143,0,stable,7/2-,-1.065(5),143,60,Nd,$^{143}_{60}Nd$
60 Nd 144,697,4.51 ps,2+,0.32(4),144,60,Nd,$^{144}_{60}Nd$
60 Nd 145,0,stable,7/2-,-0.656(4),145,60,Nd,$^{145}_{60}Nd$
60 Nd 146,454,27.5 ps,2+,0.58(2),146,60,Nd,$^{146}_{60}Nd$
60 Nd 147,0,11.0 d,5/2-,0.578(3),147,60,Nd,$^{147}_{60}Nd$
60 Nd 148,302,78.3 ps,2+,0.70(4),148,60,Nd,$^{148}_{60}Nd$
60 Nd 149,0,1.73 h,5/2-,0.351(10),149,60,Nd,$^{149}_{60}Nd$
60 Nd 150,130,2142 ps,2+,0.76(10),150,60,Nd,$^{150}_{60}Nd$
61 Pm 138,0,3.5 m,(3+),3.2(9),138,61,Pm,$^{138}_{61}Pm$
61 Pm 143,0,265 d,5/2+,3.8(5),143,61,Pm,$^{143}_{61}Pm$
61 Pm 144,0,349 d,5-,1.69(14),144,61,Pm,$^{144}_{61}Pm$
61 Pm 145,0,17.7 y,5/2+,+3.80(16),145,61,Pm,$^{145}_{61}Pm$
61 Pm 147,0,2.623 y,7/2+,+2.58(7),147,61,Pm,$^{147}_{61}Pm$
61 Pm 148,0,5.37 d,1-,+2.1(2),148,61,Pm,$^{148}_{61}Pm$
61 Pm 149,0,53.1 h,7/2+,3.3(5),149,61,Pm,$^{149}_{61}Pm$
61 Pm 151,0,28.4 h,5/2 +,1.8(2),151,61,Pm,$^{151}_{61}Pm$
62 Sm 138,2903,0.55 ns,10+,~10,138,62,Sm,$^{138}_{62}Sm$
62 Sm 139,0,2.57 m,1/2+,-0.53(2),139,62,Sm,$^{139}_{62}Sm$
62 Sm 140,3172,19.4 ns,10+,-1.8(2),140,62,Sm,$^{140}_{62}Sm$
62 Sm 141,0,10.2 m,1/2+,-0.74(2),141,62,Sm,$^{141}_{62}Sm$
62 Sm 142,2372,170 ns,7-,+0.42,142,62,Sm,$^{142}_{62}Sm$
62 Sm 143,0,8.83 m,3/2+,+1.01(2),143,62,Sm,$^{143}_{62}Sm$
62 Sm 144,1660,85 fs,2+,+1.5(2),144,62,Sm,$^{144}_{62}Sm$
62 Sm 145,0,340 d,7/2-,-1.11(6),145,62,Sm,$^{145}_{62}Sm$
62 Sm 147,0,1.1x10*11y,7/2-,-0.812(2),147,62,Sm,$^{147}_{62}Sm$
62 Sm 148,550,7.3 ps,2+,+0.51(4),148,62,Sm,$^{148}_{62}Sm$
62 Sm 149,0,> 2x10*15 y,7/2-,-0.6677(11),149,62,Sm,$^{149}_{62}Sm$
62 Sm 150,334,49 ps,2+,+0.77(5),150,62,Sm,$^{150}_{62}Sm$
62 Sm 151,0,90 y,5/2-,-0.3611(13),151,62,Sm,$^{151}_{62}Sm$
62 Sm 152,122,1.40 ns,2+,+0.80(6),152,62,Sm,$^{152}_{62}Sm$
62 Sm 153,0,46.8 h,3/2+,-0.021(3),153,62,Sm,$^{153}_{62}Sm$
62 Sm 154,82,3.01 ns,2+,+0.78(4),154,62,Sm,$^{154}_{62}Sm$
62 Sm 155,0,22.4 m,3/2-,,155,62,Sm,$^{155}_{62}Sm$
63 Eu 138,0,12.1 s,(6-),5.3(7),138,63,Eu,$^{138}_{63}Eu$
63 Eu 139,0,17.9s,(11/2-),6.1(8),139,63,Eu,$^{139}_{63}Eu$
63 Eu 140,0 + x,1.54 s,1(+),+1.365(13),140,63,Eu,$^{140}_{63}Eu$
63 Eu 141,0,40 s,5/2+,+3.494(8),141,63,Eu,$^{141}_{63}Eu$
63 Eu 142,0,2.4 s,1+,+1.54(2),142,63,Eu,$^{142}_{63}Eu$
63 Eu 143,0,2.6 m,5/2+,+3.673(8),143,63,Eu,$^{143}_{63}Eu$
63 Eu 144,0,10 s,1+,+1.893(13),144,63,Eu,$^{144}_{63}Eu$
63 Eu 145,0,5.93 d,5/2+,+3.999(3),145,63,Eu,$^{145}_{63}Eu$
63 Eu 146,0,4.59 d,4-,+1.421(8),146,63,Eu,$^{146}_{63}Eu$
63 Eu 147,0,24.1 d,5/2+,+3.736(6),147,63,Eu,$^{147}_{63}Eu$
63 Eu 148,0,54.5 d,5-,+2.340(10),148,63,Eu,$^{148}_{63}Eu$
63 Eu 149,0,93.1 d,5/2+,+3.576(10),149,63,Eu,$^{149}_{63}Eu$
63 Eu 150,0,35.8 y,5(-),+2.708(11),150,63,Eu,$^{150}_{63}Eu$
63 Eu 151,0,stable,5/2+,+3.4717(6),151,63,Eu,$^{151}_{63}Eu$
63 Eu 152,0,13.54 y,3-,-1.9401(8),152,63,Eu,$^{152}_{63}Eu$
63 Eu 153,0,stable,5/2+,+1.5324(3),153,63,Eu,$^{153}_{63}Eu$
63 Eu 154,0,8.6 y,3-,-2.005(6),154,63,Eu,$^{154}_{63}Eu$
63 Eu 155,0,4.68 y,5/2+,+1.52(2),155,63,Eu,$^{155}_{63}Eu$
63 Eu 157,0,15.2 h,5/2+,+1.50(2),157,63,Eu,$^{157}_{63}Eu$
63 Eu 158,0,45.9 m,1(-),+1.44(2),158,63,Eu,$^{158}_{63}Eu$
63 Eu 159,0,18.1 m,5/2+,+1.38(2),159,63,Eu,$^{159}_{63}Eu$
64 Gd 144,3433,130 ns,10+,+12.76(14),144,64,Gd,$^{144}_{64}Gd$
64 Gd 146,1580,1.1 ns,3-,+2.1(9),146,64,Gd,$^{146}_{64}Gd$
64 Gd 147,0,38.1 h,7/2-,1.02(9),147,64,Gd,$^{147}_{64}Gd$
64 Gd 148,2695,16.5 ns,9-,-0.16(2),148,64,Gd,$^{148}_{64}Gd$
64 Gd 149,0,9.4 d,7/2-,0.88(4),149,64,Gd,$^{149}_{64}Gd$
64 Gd 151,0,120 d,7/2-,0.77(6),151,64,Gd,$^{151}_{64}Gd$
64 Gd 152,344,28.6 ps,2+,+0.96(8),152,64,Gd,$^{152}_{64}Gd$
64 Gd 153,0,241.6 d,3/2-,0.38(8),153,64,Gd,$^{153}_{64}Gd$
64 Gd 154,123,1.17 ns,2+,+0.96(6),154,64,Gd,$^{154}_{64}Gd$
64 Gd 155,0,stable,3/2-,-0.2572(4),155,64,Gd,$^{155}_{64}Gd$
64 Gd 156,89,2.21 ns,2+,+0.82(14),156,64,Gd,$^{156}_{64}Gd$
64 Gd 157,0,stable,3/2-,-0.3398(7),157,64,Gd,$^{157}_{64}Gd$
64 Gd 158,80,2.52 ns,2+,+0.78(6),158,64,Gd,$^{158}_{64}Gd$
64 Gd 159,0,18.6 h,3/2-,-0.44(3),159,64,Gd,$^{159}_{64}Gd$
64 Gd 160,75,2.70 ns,2+,+.72(4),160,64,Gd,$^{160}_{64}Gd$
65 Tb 147,0,1.7 h,1/2+,+1.70(5),147,65,Tb,$^{147}_{65}Tb$
65 Tb 148,0,60 m,2-,-1.75(2),148,65,Tb,$^{148}_{65}Tb$
65 Tb 149,0,4.12 h,1/2+,+1.35(2),149,65,Tb,$^{149}_{65}Tb$
65 Tb 150,0 + x,3.48 h,2(-),-0.90(2),150,65,Tb,$^{150}_{65}Tb$
65 Tb 151,0,17.6 h,1/2(+),+0.919(6),151,65,Tb,$^{151}_{65}Tb$
65 Tb 152,0,17.5 h,2-,-0.58(2),152,65,Tb,$^{152}_{65}Tb$
65 Tb 153,0,2.34 d,5/2+,+3.44(2),153,65,Tb,$^{153}_{65}Tb$
65 Tb 154,0 + x,9.4 h,3-,+1.6(2),154,65,Tb,$^{154}_{65}Tb$
65 Tb 155,0,5.32 d,3/2+,+2.01(2),155,65,Tb,$^{155}_{65}Tb$
65 Tb 166,0,5.35 d,3-,1.7(2),166,65,Tb,$^{166}_{65}Tb$
65 Tb 157,0,99 y,3/2+,+2.01(2),157,65,Tb,$^{157}_{65}Tb$
65 Tb 158,0,150 y,3-,+1.758(7),158,65,Tb,$^{158}_{65}Tb$
65 Tb 159,0,stable,3/2+,+2.014(4),159,65,Tb,$^{159}_{65}Tb$
65 Tb 160,0,72.1 d,3-,1.790(7),160,65,Tb,$^{160}_{65}Tb$
65 Tb 161,0,6.9 d,3/2+ 2.2(1),,161,65,Tb,$^{161}_{65}Tb$
66 Dy 147,0,~1.3 m,(1/2+) -0.915(9),,147,66,Dy,$^{147}_{66}Dy$
66 Dy 149,0,4.23 m,7/2- -0.119(7),,149,66,Dy,$^{149}_{66}Dy$
66 Dy 151,0,17 m,7/2- -0.945(7),,151,66,Dy,$^{151}_{66}Dy$
66 Dy 152,6129,9.9 ns,21- +11.6(12),,152,66,Dy,$^{152}_{66}Dy$
66 Dy 153,0,6.3 h,7/2- -0.782(6),,153,66,Dy,$^{153}_{66}Dy$
66 Dy 154,yrast,,2+ g ratio to 2+ = 1.00,,154,66,Dy,$^{154}_{66}Dy$
66 Dy 155,0,10.0 h,3/2- -0.385(4),,155,66,Dy,$^{155}_{66}Dy$
66 Dy 156,138,0.82 ns,2+,+0.78(8),156,66,Dy,$^{156}_{66}Dy$
66 Dy 157,0,8.1 h,3/2-,-0.301(2),157,66,Dy,$^{157}_{66}Dy$
66 Dy 158,99,1.66 μs,2+,+0.72(5),158,66,Dy,$^{158}_{66}Dy$
66 Dy 159,0,144 d,3/2-,-0.354(3),159,66,Dy,$^{159}_{66}Dy$
66 Dy 160,87,1.96 ns,2+,+0.74(2),160,66,Dy,$^{160}_{66}Dy$
66 Dy 161,0,stable,5/2+,-0.480(3),161,66,Dy,$^{161}_{66}Dy$
66 Dy 162,81,2.25 ns,2+,+0.69(3),162,66,Dy,$^{162}_{66}Dy$
66 Dy 163,0,stable,5/2-,+0.673(4),163,66,Dy,$^{163}_{66}Dy$
66 Dy 164,73,2.39 ns,2+,+0.68(2),164,66,Dy,$^{164}_{66}Dy$
66 Dy 165,0,2.33 h,7/2+,-0.520(5),165,66,Dy,$^{165}_{66}Dy$
67 Ho 152,0,161.8 s,2-,-1.02(2),152,67,Ho,$^{152}_{67}Ho$
67 Ho 153,0,2.0 m,11/2-,+6.81(5),153,67,Ho,$^{153}_{67}Ho$
67 Ho 154,0,11.76 m,2-,-0.643(6),154,67,Ho,$^{154}_{67}Ho$
67 Ho 155,0,48 m,5/2+,+3.51(3),155,67,Ho,$^{155}_{67}Ho$
67 Ho 156,0,56 m,4(+),+2.99(3),156,67,Ho,$^{156}_{67}Ho$
67 Ho 157,0,12.6 m,7/2-,+4.35(3),157,67,Ho,$^{157}_{67}Ho$
67 Ho 158,0,11.3 m,5+,+3.77(3),158,67,Ho,$^{158}_{67}Ho$
67 Ho 159,0,35.05 m,7/2-,+4.28(3),159,67,Ho,$^{159}_{67}Ho$
67 Ho 160,0,25.6 m,5+,+3.71(3),160,67,Ho,$^{160}_{67}Ho$
67 Ho 161,0,2.48 h,7/2-,+4.25(3),161,67,Ho,$^{161}_{67}Ho$
67 Ho 162,106,67 m,6-,+3.60(4),162,67,Ho,$^{162}_{67}Ho$
67 Ho 163,0,4570 y,7/2-,+4.23(4),163,67,Ho,$^{163}_{67}Ho$
67 Ho 165,0,stable,7/2-,+4.17(3),165,67,Ho,$^{165}_{67}Ho$
67 Ho 166,6,1200 y,(7)-,3.60(16),166,67,Ho,$^{166}_{67}Ho$
68 Er 152,2184,1.8 ns,8+,-0.6(6),152,68,Er,$^{152}_{68}Er$
68 Er 153,0,37.1 s,(7/2-),-0.934(5),153,68,Er,$^{153}_{68}Er$
68 Er 154,3016 + x,39 ns,11-,+0.169(13),154,68,Er,$^{154}_{68}Er$
68 Er 155,0,5.3 m,7/2-,-0.669(4),155,68,Er,$^{155}_{68}Er$
68 Er 156,345,33 ps,2+,0.80(12),156,68,Er,$^{156}_{68}Er$
68 Er 157,0,25 m,3/2-,-0.412(3),157,68,Er,$^{157}_{68}Er$
68 Er 158,192,0.30 ns,2+,0.72(11),158,68,Er,$^{158}_{68}Er$
68 Er 159,0,36 m,3/2-,-0.304(2),159,68,Er,$^{159}_{68}Er$
68 Er 160,390,34 ps,4+,1.28(19),160,68,Er,$^{160}_{68}Er$
68 Er 161,0,3.21 h,3/2-,-0.365(3),161,68,Er,$^{161}_{68}Er$
68 Er 162,102,1.3 ns,2+,,162,68,Er,$^{162}_{68}Er$
68 Er 163,0,75.1 m,5/2-,+0.557(4),163,68,Er,$^{163}_{68}Er$
68 Er 164,92,1.48 ns,2+,0.697(15),164,68,Er,$^{164}_{68}Er$
68 Er 165,0,10.36 h,5/2-,+0.643(3),165,68,Er,$^{165}_{68}Er$
68 Er 166,81,1.85 ns,2+,+0.649(10),166,68,Er,$^{166}_{68}Er$
68 Er 167,0,stable,7/2+,-0.56385(12),167,68,Er,$^{167}_{68}Er$
68 Er 168,80,1.86 ns,2+,+0.62(6),168,68,Er,$^{168}_{68}Er$
68 Er 169,0,9.40 d,1/2-,+0.52(3),169,68,Er,$^{169}_{68}Er$
68 Er 170,79,1.90 ns,2+,0.633(13),170,68,Er,$^{170}_{68}Er$
68 Er 171,0,7.52 h,5/2-,0.659(10),171,68,Er,$^{171}_{68}Er$
69 Tm 156,0,1.3 m,2-,+0.40(3),156,69,Tm,$^{156}_{69}Tm$
69 Tm 157,0,3.6 m,1/2+,+0.476(15),157,69,Tm,$^{157}_{69}Tm$
69 Tm 158,0,4.3 m,2-,+0.04(2),158,69,Tm,$^{158}_{69}Tm$
69 Tm 159,0,9.0 m,5/2+,+3.42(3),159,69,Tm,$^{159}_{69}Tm$
69 Tm 160,0,9.4 m,1-,+0.16(2),160,69,Tm,$^{160}_{69}Tm$
69 Tm 161,0,38 m,7/2+,+2.40(2),161,69,Tm,$^{161}_{69}Tm$
69 Tm 162,0,21 m,1-,+0.068(8),162,69,Tm,$^{162}_{69}Tm$
69 Tm 163,0,1.8 h,1/2+,-0.082(1),163,69,Tm,$^{163}_{69}Tm$
69 Tm 164,0,2.0 m,1+,+2.83(3),164,69,Tm,$^{164}_{69}Tm$
69 Tm 165,0,30.06 h,1/2+,-0.139(2),165,69,Tm,$^{165}_{69}Tm$
69 Tm 166,0,7.7 h,2+,+0.092(1),166,69,Tm,$^{166}_{69}Tm$
69 Tm 167,0,9.25 d,1/2+,-0.197(2),167,69,Tm,$^{167}_{69}Tm$
69 Tm 168,0,85 d,3+,+0.227(11),168,69,Tm,$^{168}_{69}Tm$
69 Tm 169,0,stable,1/2+,-0.2310(15) d,169,69,Tm,$^{169}_{69}Tm$
69 Tm 170,0,128.6 d,1+,+0.246(2),170,69,Tm,$^{170}_{69}Tm$
69 Tm 171,0,1.92 y,1/2+,-0.228(4),171,69,Tm,$^{171}_{69}Tm$
70 Yb 155,0,1.59 s,(7/2-),-0.84(8),155,70,Yb,$^{155}_{70}Yb$
70 Yb 157,0,38.6 s,7/2-,-0.639(8),157,70,Yb,$^{157}_{70}Yb$
70 Yb 158,band,,30 - 38,(+)0.20(7),158,70,Yb,$^{158}_{70}Yb$
70 Yb 159,0,1.58 m,5/2(-),-0.368(8),159,70,Yb,$^{159}_{70}Yb$
70 Yb 160,band,,~4+,+1.9(10),160,70,Yb,$^{160}_{70}Yb$
70 Yb 161,0,4.2 m,3/2-,-0.327(8),161,70,Yb,$^{161}_{70}Yb$
70 Yb 162,cont.,,20-32,g(av) = 0.24(5),162,70,Yb,$^{162}_{70}Yb$
70 Yb 163,0,11.0 m,3/2-,-0.374(8),163,70,Yb,$^{163}_{70}Yb$
70 Yb 165,0,9.9 m,5/2-,+0.478(8),165,70,Yb,$^{165}_{70}Yb$
70 Yb 167,0,17.5 m,5/2-,+0.623(8),167,70,Yb,$^{167}_{70}Yb$
70 Yb 169,0,32.0 d,7/2+,-0.635(8),169,70,Yb,$^{169}_{70}Yb$
70 Yb 170,84,1.57 ns,2+,+0.674(8),170,70,Yb,$^{170}_{70}Yb$
70 Yb 171,0,stable,1/2-,+0.49367(1),171,70,Yb,$^{171}_{70}Yb$
70 Yb 172,260,0.122 ns,4+,,172,70,Yb,$^{172}_{70}Yb$
70 Yb 173,0,stable,5/2-,-0.648(3),173,70,Yb,$^{173}_{70}Yb$
70 Yb 174,77,1.79 ns,2+,+0.676(8),174,70,Yb,$^{174}_{70}Yb$
70 Yb 175,0,4.18 d,7/2-,0.768(8),175,70,Yb,$^{175}_{70}Yb$
70 Yb  176,82,1.8 ns,2+,+0.68(3),176,70,Yb,$^{176}_{70}Yb$
71 Lu 169,0,34.1 h,7/2+,2.297(13),169,71,Lu,$^{169}_{71}Lu$
71 Lu 171,0,8.24 d,7/2+,2.305(12),171,71,Lu,$^{171}_{71}Lu$
71 Lu 172,0,6.70 d,4-,2.893(15),172,71,Lu,$^{172}_{71}Lu$
71 Lu 173,0,1.37 y,7/2+,2.280(12),173,71,Lu,$^{173}_{71}Lu$
71 Lu 174,0,3.3 y,1-,1.9(3),174,71,Lu,$^{174}_{71}Lu$
71 Lu 175,0,stable,7/2+,+2.2323(11),175,71,Lu,$^{175}_{71}Lu$
71 Lu 176,0,3.6x10*10 y,7-,+3.169(5),176,71,Lu,$^{176}_{71}Lu$
71 Lu 177,0,6.71 d,7/2+,+2.239(11),177,71,Lu,$^{177}_{71}Lu$
72 Hf 165,> yrast,_,_,average g = +0.14(3),165,72,Hf,$^{165}_{72}Hf$
72 Hf 166,> yrast,_,_,average g = +0.19(4),166,72,Hf,$^{166}_{72}Hf$
72 Hf 168,>1213,~ 1 ps,>6+,average g = +0.07(4),168,72,Hf,$^{168}_{72}Hf$
72 Hf 172,>1037,~0.5 ps,>6+,average g = +0.14(4),172,72,Hf,$^{172}_{72}Hf$
72 Hf 173,1984,19.5 ns,23/2-,+6.6(2),173,72,Hf,$^{173}_{72}Hf$
72 Hf 174,1549,138 ns,(6+),+5.42(5),174,72,Hf,$^{174}_{72}Hf$
72 Hf 175,0,70 d,5/2-,-0.62(3),175,72,Hf,$^{175}_{72}Hf$
72 Hf 176,88,1.47 ns,2+,+0.63(6),176,72,Hf,$^{176}_{72}Hf$
72 Hf 177,0,stable,7/2-,+0.7935(6),177,72,Hf,$^{177}_{72}Hf$
72 Hf 178,93,1.47 ns,2+,+0.48(3),178,72,Hf,$^{178}_{72}Hf$
72 Hf 179,0,stable,9/2+,-0.6409(13),179,72,Hf,$^{179}_{72}Hf$
72 Hf 180,93,1.53 ns,2+,+0.61(3),180,72,Hf,$^{180}_{72}Hf$
73 Ta 171,184,45 ns,9/2-,,171,73,Ta,$^{171}_{73}Ta$
73 Ta 173,0,3.14 h,5/2-,1.70(3),173,73,Ta,$^{173}_{73}Ta$
73 Ta 175,0,10.5 h,7/2+,2.27(5),175,73,Ta,$^{175}_{73}Ta$
73 Ta 177,0,56.6 h,7/2+,2.25(5),177,73,Ta,$^{177}_{73}Ta$
73 Ta 178,0 + x,9.3 m,1+,2.740(12),178,73,Ta,$^{178}_{73}Ta$
73 Ta 179,0,1.82 y,7/2+,+2.289(9),179,73,Ta,$^{179}_{73}Ta$
73 Ta 180,75,>1.2x10*15y,9-,+4.825(11),180,73,Ta,$^{180}_{73}Ta$
73 Ta 181,0,stable,7/2+,+2.3705(7),181,73,Ta,$^{181}_{73}Ta$
73 Ta 182,0,115 d,3-,3.02(3),182,73,Ta,$^{182}_{73}Ta$
73 Ta 183,0,5.1 d,7/2+,(+)2.36(3),183,73,Ta,$^{183}_{73}Ta$
74 W 178,199,213 ps,2+,+0.50(10),178,74,W,$^{178}_{74}W$
74 W 179,3348,750 ns,35/2-,,179,74,W,$^{179}_{74}W$
74 W 180,104,1.22 ns,2+,0.51(3),180,74,W,$^{180}_{74}W$
74 W 182,100,1.37,2+,0.52(2),182,74,W,$^{182}_{74}W$
74 W 183,0,stable,1/2-,+0.11778476(9),183,74,W,$^{183}_{74}W$
74 W 184,111,1.25 ns,2+,+0.578(14),184,74,W,$^{184}_{74}W$
74 W 186,123,1.05 ns,2+,0.62(3),186,74,W,$^{186}_{74}W$
74 W 187,0,23.9 h,3/2-,0.621(15),187,74,W,$^{187}_{74}W$
75 Re 179,0,19.7 m,(5/2)+,2.8(4),179,75,Re,$^{179}_{75}Re$
75 Re 180,0,2.4 m,(1)-,1.6(2),180,75,Re,$^{180}_{75}Re$
75 Re 181,0,19.9 h,5/2+,3.19(7),181,75,Re,$^{181}_{75}Re$
75 Re 182,0,64.0 h,7+,2.84(6),182,75,Re,$^{182}_{75}Re$
75 Re 183,0,70.0 d,5/2+,3.168(15),183,75,Re,$^{183}_{75}Re$
75 Re 184,0,38.0 d,3-,(+)2.53(5),184,75,Re,$^{184}_{75}Re$
75 Re 185,0,stable,5/2+,+3.1871(3),185,75,Re,$^{185}_{75}Re$
75 Re 186,0,90.6 h,1-,+1.739(6),186,75,Re,$^{186}_{75}Re$
75 Re 187,0,4 x 10*10 y,5/2+,+3.2197(3),187,75,Re,$^{187}_{75}Re$
75 Re 188,0,16.9 h,1-,+1.788(5),188,75,Re,$^{188}_{75}Re$
76 Os 182,7049,150 ns,25(+),+10.6(2),182,76,Os,$^{182}_{76}Os$
76 Os 183,0,13.0 h,9/2+,(-)0.794(14),183,76,Os,$^{183}_{76}Os$
76 Os 184,120,1.18 ns,2+,,184,76,Os,$^{184}_{76}Os$
76 Os 186,137,830 ps,2+,+0.56(2),186,76,Os,$^{186}_{76}Os$
76 Os 187,0,stable,1/2-,+0.06465189(6),187,76,Os,$^{187}_{76}Os$
76 Os 188,155,710 ps,2+,+0.58(2),188,76,Os,$^{188}_{76}Os$
76 Os 189,0,stable,3/2-,+0.659933(4),189,76,Os,$^{189}_{76}Os$
76 Os 190,187,366 ps,2+,+0.70(2),190,76,Os,$^{190}_{76}Os$
76 Os 191,0,15.4 d,9/2-,+0.96(3),191,76,Os,$^{191}_{76}Os$
76 Os 192,206,289 ps,2+,+0.79(2),192,76,Os,$^{192}_{76}Os$
76 Os 193,0,30.5 h,3/2-,0.730(2),193,76,Os,$^{193}_{76}Os$
77 Ir 180,0,1.5 m,unknown,2.2(2) [I=3],180,77,Ir,$^{180}_{77}Ir$
77 Ir 182,0,15 m,unknown,1.91(9) [I=2],182,77,Ir,$^{182}_{77}Ir$
77 Ir 183,0,55 m,"5/2, 7/2",2.36(8) [I=5/2],183,77,Ir,$^{183}_{77}Ir$
77 Ir 184,0,3.14 h,5-,0.696(5),184,77,Ir,$^{184}_{77}Ir$
77 Ir 185,0,14.4 h,5/2-,2.605(13),185,77,Ir,$^{185}_{77}Ir$
77 Ir 186,0,16.64 h,5+,3.88(5),186,77,Ir,$^{186}_{77}Ir$
77 Ir 187,0,10.5 h,3/2+,,187,77,Ir,$^{187}_{77}Ir$
77 Ir 188,0,40.5 h,1(-),0.302(10),188,77,Ir,$^{188}_{77}Ir$
77 Ir 189,0,13.1 d,3/2+,"0.13(+8,-4)",189,77,Ir,$^{189}_{77}Ir$
77 Ir 190,0,11.8 d,(4)+,0.04(1),190,77,Ir,$^{190}_{77}Ir$
77 Ir 191,0,stable,3/2+,+0.1507(6),191,77,Ir,$^{191}_{77}Ir$
77 Ir 193,0,stable,3/2+,+0.1637(6),193,77,Ir,$^{193}_{77}Ir$
77 Ir 194,0,19.4 h,1-,0.39(1),194,77,Ir,$^{194}_{77}Ir$
78 Pt 183,0,6.5 m,1/2-,+0.51(3),183,78,Pt,$^{183}_{78}Pt$
78 Pt 184,163,376 ps,2+,+0.56(6),184,78,Pt,$^{184}_{78}Pt$
78 Pt 185,0,70.9 m,9/2+,0.774(14),185,78,Pt,$^{185}_{78}Pt$
78 Pt 186,192,260 ps,2+,+0.54(6),186,78,Pt,$^{186}_{78}Pt$
78 Pt 187,0,2.35 h,3/2-,0.408(8),187,78,Pt,$^{187}_{78}Pt$
78 Pt 188,266,64 ps,2+,+0.58(8),188,78,Pt,$^{188}_{78}Pt$
78 Pt 189,0,10.9 h,3/2-,-0.421(5),189,78,Pt,$^{189}_{78}Pt$
78 Pt 190,296,60 ps,2+,+0.57(3),190,78,Pt,$^{190}_{78}Pt$
78 Pt 191,0,2.9 d,3/2-,-0.501(5),191,78,Pt,$^{191}_{78}Pt$
78 Pt 192,317,43.7 ps,2+,+0.57(3),192,78,Pt,$^{192}_{78}Pt$
78 Pt 193,0,50 y,1/2-,+0.603(8),193,78,Pt,$^{193}_{78}Pt$
78 Pt 194,328,41.8 ps,2+,+0.60(3),194,78,Pt,$^{194}_{78}Pt$
78 Pt 195,0,stable,1/2-,+0.60952(6),195,78,Pt,$^{195}_{78}Pt$
78 Pt 196,356,34 ps,2+,+0.59(5),196,78,Pt,$^{196}_{78}Pt$
78 Pt 197,0,18.3 h,1/2-,0.51(2),197,78,Pt,$^{197}_{78}Pt$
78 Pt 198,407,22.3 ps,2+,+0.63(2),198,78,Pt,$^{198}_{78}Pt$
79 Au 182,0,21 s,unknown,1.30(10) [I=2],182,79,Au,$^{182}_{79}Au$
79 Au 183,0,42 s,5/2-,+1.97(2),183,79,Au,$^{183}_{79}Au$
79 Au 184,0,21 s,5,+2.07(2),184,79,Au,$^{184}_{79}Au$
79 Au 185,0,4.2 m,5/2-,+2.17(2),185,79,Au,$^{185}_{79}Au$
79 Au 186,0,10.7 m,3-,-1.28(3),186,79,Au,$^{186}_{79}Au$
79 Au 187,0,8.4 m,1/2+,+0.535(15),187,79,Au,$^{187}_{79}Au$
79 Au 188,0,8.8 m,1-,-0.07(3),188,79,Au,$^{188}_{79}Au$
79 Au 189,0,28.7 m,1/2+,+0.494(14),189,79,Au,$^{189}_{79}Au$
79 Au 190,0,42.8 m,1-,-0.065(7),190,79,Au,$^{190}_{79}Au$
79 Au 191,0,3.18 h,3/2+,+0.1369(9),191,79,Au,$^{191}_{79}Au$
79 Au 192,0,5.0 h,1-,-0.0107(15),192,79,Au,$^{192}_{79}Au$
79 Au 193,0,17.65 h,3/2+,0.1396(6),193,79,Au,$^{193}_{79}Au$
79 Au 194,0,39.5 h,1-,+0.0763(13),194,79,Au,$^{194}_{79}Au$
79 Au 195,0,183 d,3/2+,0.1487(6),195,79,Au,$^{195}_{79}Au$
79 Au 196,0,6.18 d,2-,+0.580(15),196,79,Au,$^{196}_{79}Au$
79 Au 197,0,stable,3/2+,+0.145746(9),197,79,Au,$^{197}_{79}Au$
79 Au 198,0,2.696 d,2-,+0.64(2),198,79,Au,$^{198}_{79}Au$
79 Au 199,0,3.14 d,3/2+,+0.261(2),199,79,Au,$^{199}_{79}Au$
79 Au 200,962,18.7 h,12-,5.90(9),200,79,Au,$^{200}_{79}Au$
80 Hg 181,0,3.6 s,1/2(-),+0.5071(7),181,80,Hg,$^{181}_{80}Hg$
80 Hg 183,0,8.8 s,1/2-,+0.524(5),183,80,Hg,$^{183}_{80}Hg$
80 Hg 185,0,55 s,1/2-,+0.509(4),185,80,Hg,$^{185}_{80}Hg$
80 Hg 187,0,2.4 m,13/2+,-1.044(11),187,80,Hg,$^{187}_{80}Hg$
80 Hg 188,2724,135 ns,12+,-2.02(12),188,80,Hg,$^{188}_{80}Hg$
80 Hg 189,0,7.6 m,3/2-,-0.6086(8),189,80,Hg,$^{189}_{80}Hg$
80 Hg 190,2621,21 ns,12+,-2.5(2),190,80,Hg,$^{190}_{80}Hg$
