nucleus,energy,lifetime,lifetime_unit,life_mult,life_sec,Z,A,symbol,latex,natural_lw,combo
13-Al-32,1941.4,33,MS,0.001,0.033,13,32,Al,$^{32}_{13}Al$,1.995e-5,32Al
13-Al-33,1010.2,41.7,MS,0.001,0.0417,13,33,Al,$^{33}_{13}Al$,1.578e-5,33Al
13-Al-33,1780.8,41.7,MS,0.001,0.0417,13,33,Al,$^{33}_{13}Al$,1.578e-5,33Al
13-Al-34,125.4,42,MS,0.001,0.042,13,34,Al,$^{34}_{13}Al$,1.567e-5,34Al
13-Al-34,929.6,42,MS,0.001,0.042,13,34,Al,$^{34}_{13}Al$,1.567e-5,34Al
13-Al-34,1009.7,56.3,MS,0.001,0.056299999999999996,13,34,Al,$^{34}_{13}Al$,1.169e-5,34Al
13-Al-34,1434.9,56.3,MS,0.001,0.056299999999999996,13,34,Al,$^{34}_{13}Al$,1.169e-5,34Al
14-Si-25,452,220,MS,0.001,0.22,14,25,Si,$^{25}_{14}Si$,2.992e-6,25Si
14-Si-25,493,220,MS,0.001,0.22,14,25,Si,$^{25}_{14}Si$,2.992e-6,25Si
14-Si-25,1612,220,MS,0.001,0.22,14,25,Si,$^{25}_{14}Si$,2.992e-6,25Si
14-Si-26,829.42,2.234,S,1,2.234,14,26,Si,$^{26}_{14}Si$,2.946e-7,26Si
14-Si-26,1622.26,2.234,S,1,2.234,14,26,Si,$^{26}_{14}Si$,2.946e-7,26Si
14-Si-26,1843.26,2.234,S,1,2.234,14,26,Si,$^{26}_{14}Si$,2.946e-7,26Si
14-Si-27,1014.46,4.16,S,1,4.16,14,27,Si,$^{27}_{14}Si$,1.582e-7,27Si
14-Si-27,2210.5,4.16,S,1,4.16,14,27,Si,$^{27}_{14}Si$,1.582e-7,27Si
14-Si-27,2981.1,4.16,S,1,4.16,14,27,Si,$^{27}_{14}Si$,1.582e-7,27Si
14-Si-31,1266.15,157.3,M,60,9438,14,31,Si,$^{31}_{14}Si$,6.974e-11,31Si
14-Si-33,1431.6,6.18,S,1,6.18,14,33,Si,$^{33}_{14}Si$,1.065e-7,33Si
14-Si-33,1847.54,6.18,S,1,6.18,14,33,Si,$^{33}_{14}Si$,1.065e-7,33Si
14-Si-33,2538.5,6.18,S,1,6.18,14,33,Si,$^{33}_{14}Si$,1.065e-7,33Si
14-Si-34,429.07,2.77,S,1,2.77,14,34,Si,$^{34}_{14}Si$,2.376e-7,34Si
14-Si-34,1178.5,2.77,S,1,2.77,14,34,Si,$^{34}_{14}Si$,2.376e-7,34Si
14-Si-34,1607.6,2.77,S,1,2.77,14,34,Si,$^{34}_{14}Si$,2.376e-7,34Si
14-Si-35,2386.3,0.78,S,1,0.78,14,35,Si,$^{35}_{14}Si$,8.439e-7,35Si
14-Si-36,175,0.45,S,1,0.45,14,36,Si,$^{36}_{14}Si$,1.463e-6,36Si
14-Si-36,249.9,0.45,S,1,0.45,14,36,Si,$^{36}_{14}Si$,1.463e-6,36Si
14-Si-36,878.2,0.45,S,1,0.45,14,36,Si,$^{36}_{14}Si$,1.463e-6,36Si
15-P-28,1778.97,270.3,MS,0.001,0.27030000000000004,15,28,P,$^{28}_{15}P$,2.435e-6,28P
15-P-29,1273.37,4.142,S,1,4.142,15,29,P,$^{29}_{15}P$,1.589e-7,29P
15-P-29,2028.07,4.142,S,1,4.142,15,29,P,$^{29}_{15}P$,1.589e-7,29P
15-P-29,2425.91,4.142,S,1,4.142,15,29,P,$^{29}_{15}P$,1.589e-7,29P
15-P-30,1263.13,2.498,M,60,149.88000000000002,15,30,P,$^{30}_{15}P$,4.392e-9,30P
15-P-30,1552.36,2.498,M,60,149.88000000000002,15,30,P,$^{30}_{15}P$,4.392e-9,30P
15-P-30,2235.23,2.498,M,60,149.88000000000002,15,30,P,$^{30}_{15}P$,4.392e-9,30P
15-P-34,1987.18,12.43,S,1,12.43,15,34,P,$^{34}_{15}P$,5.295e-8,34P
15-P-34,2127.49,12.43,S,1,12.43,15,34,P,$^{34}_{15}P$,5.295e-8,34P
15-P-35,1572.33,47.3,S,1,47.3,15,35,P,$^{35}_{15}P$,1.392e-8,35P
15-P-35,2938.51,47.3,S,1,47.3,15,35,P,$^{35}_{15}P$,1.392e-8,35P
15-P-36,901.8,5.6,S,1,5.6,15,36,P,$^{36}_{15}P$,1.175e-7,36P
