date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:53:31	28435/28435	---M--	200	added ('Sending%20data')	image/gif	date:Monday,%2009-Oct-06%2018:08:05%20GMT	http://img.chem.ucl.ac.uk/sgp/large/062bz1.gif	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/062bz1.gif	(from http://img.chem.ucl.ac.uk/sgp/large/062bz1.htm)
23:53:31	1732/1732	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:14%20GMT	http://img.chem.ucl.ac.uk/sgp/large/062ez2.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/062ez2.html	(from http://img.chem.ucl.ac.uk/sgp/large/062ez1.htm)
23:53:31	2001/2001	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:15%20GMT	http://img.chem.ucl.ac.uk/sgp/large/062ez3.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/062ez3.html	(from http://img.chem.ucl.ac.uk/sgp/large/062ez1.htm)
23:53:32	1889/1889	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:15%20GMT	http://img.chem.ucl.ac.uk/sgp/large/062fz1.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/062fz1.htm	(from http://img.chem.ucl.ac.uk/sgp/large/ortho.htm)
23:53:33	30598/30598	---M--	200	added ('Sending%20data')	image/gif	date:Monday,%2009-Oct-06%2018:08:05%20GMT	http://img.chem.ucl.ac.uk/sgp/large/062cz1.gif	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/062cz1.gif	(from http://img.chem.ucl.ac.uk/sgp/large/062cz1.htm)
23:53:33	1732/1732	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:16%20GMT	http://img.chem.ucl.ac.uk/sgp/large/063bz2.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/063bz2.html	(from http://img.chem.ucl.ac.uk/sgp/large/063bz1.htm)
23:53:34	2001/2001	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:17%20GMT	http://img.chem.ucl.ac.uk/sgp/large/063bz3.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/063bz3.html	(from http://img.chem.ucl.ac.uk/sgp/large/063bz1.htm)
23:53:35	29303/29303	---M--	200	added ('Sending%20data')	image/gif	date:Monday,%2009-Oct-06%2018:08:05%20GMT	http://img.chem.ucl.ac.uk/sgp/large/062dz1.gif	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/062dz1.gif	(from http://img.chem.ucl.ac.uk/sgp/large/062dz1.htm)
23:53:35	1732/1732	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:17%20GMT	http://img.chem.ucl.ac.uk/sgp/large/063cz2.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/063cz2.html	(from http://img.chem.ucl.ac.uk/sgp/large/063cz1.htm)
23:53:35	1993/1993	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:17%20GMT	http://img.chem.ucl.ac.uk/sgp/large/063cz3.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/063cz3.html	(from http://img.chem.ucl.ac.uk/sgp/large/063cz1.htm)
